date,geography,geography code,Provision of unpaid care: Total: All usual residents aged 5 and over,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Provides 19 hours or less unpaid care a week,Provision of unpaid care: Provides 9 hours or less unpaid care a week,Provision of unpaid care: Provides 10 to 19 hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 20 to 34 hours unpaid care a week,Provision of unpaid care: Provides 35 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid care a week
2021,Gloucestershire,E10000013,612811,560949,28679,21771,6908,9125,4467,4658,14058
2021,Hampshire,E10000014,1329646,1217907,61465,46799,14666,18990,9219,9771,31284
2021,Hertfordshire,E10000015,1128638,1035857,51591,38852,12739,17152,8326,8826,24038
2021,Kent,E10000016,1488783,1352888,66462,48657,17805,26121,12237,13884,43312
2021,Lancashire,E10000017,1171629,1058892,54987,39375,15612,23315,10935,12380,34435
2021,Leicestershire,E10000018,676345,615039,33155,24627,8528,11035,5394,5641,17116
2021,Lincolnshire,E10000019,732546,662159,32084,22985,9099,14097,6624,7473,24206
2021,Norfolk,E10000020,873602,792067,40062,29325,10737,15760,7464,8296,25713
2021,North Yorkshire,E10000023,587750,534027,29334,22005,7329,9320,4631,4689,15069
2021,Nottinghamshire,E10000024,782932,700757,41653,30296,11357,16023,7492,8531,24499
2021,Oxfordshire,E10000025,687300,634626,29895,23048,6847,9143,4435,4708,13636
2021,Somerset,E10000027,544501,494564,26058,19474,6584,9135,4447,4688,14744
2021,Staffordshire,E10000028,832396,750613,42160,30756,11404,15402,7335,8067,24221
2021,Suffolk,E10000029,723426,658323,33651,24924,8727,11936,5703,6233,19516
2021,Surrey,E10000030,1137473,1046976,51969,39968,12001,15059,7469,7590,23469
2021,Warwickshire,E10000031,565763,516138,26202,19594,6608,9207,4453,4754,14216
2021,West Sussex,E10000032,838152,765336,39640,30002,9638,12849,6339,6510,20327
2021,Worcestershire,E10000034,574072,521331,27467,20331,7136,9740,4664,5076,15534
2021,Isle of Anglesey,W06000001,65667,58921,3025,2118,907,1373,656,717,2348
2021,Gwynedd,W06000002,112042,102054,4562,3265,1297,1912,902,1010,3514
2021,Conwy,W06000003,109711,98071,5160,3627,1533,2284,1090,1194,4196
2021,Denbighshire,W06000004,91048,80879,4253,2887,1366,2190,1028,1162,3726
2021,Flintshire,W06000005,147336,132074,7328,5172,2156,3058,1453,1605,4876
2021,Wrexham,W06000006,128119,115261,5746,3994,1752,2772,1253,1519,4340
2021,Ceredigion,W06000008,68766,61520,3582,2581,1001,1326,687,639,2338
2021,Pembrokeshire,W06000009,117777,104887,5828,4115,1713,2693,1243,1450,4369
2021,Carmarthenshire,W06000010,178840,158454,8778,6006,2772,4231,2073,2158,7377
2021,Swansea,W06000011,227061,202355,11081,7526,3555,5110,2460,2650,8515
2021,Neath Port Talbot,W06000012,135244,118688,6451,4184,2267,3897,1792,2105,6208
2021,Bridgend,W06000013,138145,122836,6360,4314,2046,3376,1549,1827,5573
2021,Vale of Glamorgan,W06000014,125088,112165,6473,4695,1778,2445,1244,1201,4005
2021,Cardiff,W06000015,343238,314251,14186,10140,4046,6160,2996,3164,8641
2021,Rhondda Cynon Taff,W06000016,225119,200129,10116,6635,3481,5556,2515,3041,9318
2021,Caerphilly,W06000018,166734,147666,7583,5040,2543,4339,1967,2372,7146
2021,Blaenau Gwent,W06000019,63359,56125,2696,1714,982,1753,776,977,2785
2021,Torfaen,W06000020,87274,77341,4222,2859,1363,2197,1011,1186,3514
2021,Monmouthshire,W06000021,88995,79794,4952,3647,1305,1609,837,772,2640
2021,Newport,W06000022,149859,134884,6674,4618,2056,3380,1595,1785,4921
2021,Powys,W06000023,127438,113975,6937,4998,1939,2422,1220,1202,4104
2021,Merthyr Tydfil,W06000024,55538,49326,2326,1423,903,1511,688,823,2375
