"date","geography","geography code","Living arrangements: Total; measures: Value","Living arrangements: Living in a couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Cohabiting; measures: Value","Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value","Living arrangements: Not living in a couple; measures: Value","Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value","Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value","Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value","Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value","Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value"
"2021","Bradford","E08000032",416168,229622,180485,179577,908,382,48755,46633,2122,186546,117309,9693,9830,27118,22596
"2021","Calderdale","E08000033",165378,96307,70922,70170,752,126,25259,24208,1051,69071,41577,1854,3557,12392,9691
"2021","Kirklees","E08000034",340811,200004,152731,151833,898,244,47029,45043,1986,140807,87429,4748,6685,22613,19332
"2021","Leeds","E08000035",637169,348896,249538,247565,1973,606,98752,93550,5202,288273,196500,7745,12081,39198,32749
"2021","Wakefield","E08000036",284037,173386,124192,123298,894,208,48986,47045,1941,110651,65635,2219,5526,20159,17112
"2021","Derby","E06000015",204812,113877,84847,84391,456,195,28835,27523,1312,90935,58576,3450,3914,13591,11404
"2021","Leicester","E06000016",277868,142421,114410,113910,500,278,27733,26238,1495,135447,92481,9413,4868,15106,13579
"2021","Nottingham","E06000018",241859,109984,75485,74766,719,222,34277,32435,1842,131875,97139,4256,4638,15067,10775
"2021","Rutland","E06000017",31274,21119,17343,17234,109,10,3766,3604,162,10155,5301,215,555,2000,2084
"2021","Derbyshire","E10000007",652971,411652,304900,302818,2082,494,106258,102115,4143,241319,138863,4334,11682,45281,41159
"2021","Leicestershire","E10000018",573677,363920,279277,277576,1701,461,84182,81014,3168,209757,126543,4716,9512,35181,33805
"2021","Lincolnshire","E10000019",624872,393943,295949,294131,1818,513,97481,93717,3764,230929,130408,5330,11151,43164,40876
"2021","Nottinghamshire","E10000024",667485,417720,310596,308545,2051,532,106592,102291,4301,249765,147239,5047,11666,44177,41636
"2021","North Northamptonshire","E06000061",286266,177076,129080,128275,805,312,47684,45972,1712,109190,65410,2950,5910,19462,15458
"2021","West Northamptonshire","E06000062",337180,207712,155237,154245,992,331,52144,50022,2122,129468,80149,4565,6342,21518,16894
"2021","Herefordshire, County of","E06000019",154838,97482,76042,75580,462,156,21284,20500,784,57356,32108,1449,2577,10938,10284
"2021","Shropshire","E06000051",265483,169116,130691,129825,866,211,38214,36731,1483,96367,54639,2324,4282,17439,17683
"2021","Stoke-on-Trent","E06000021",202378,114024,80679,80215,464,151,33194,31591,1603,88354,54925,2690,4517,14097,12125
"2021","Telford and Wrekin","E06000020",146851,88516,64345,63913,432,125,24046,23044,1002,58335,35608,1553,2873,10353,7948
