"date","geography","geography code","Living arrangements: Total; measures: Value","Living arrangements: Living in a couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Cohabiting; measures: Value","Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value","Living arrangements: Not living in a couple; measures: Value","Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value","Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value","Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value","Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value","Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value"
"2021","Knowsley","E08000011",123477,63564,44782,44488,294,136,18646,17926,720,59913,40960,916,2718,7787,7532
"2021","Liverpool","E08000012",380867,174002,120724,119670,1054,358,52920,49964,2956,206865,150017,4432,7790,24181,20445
"2021","St. Helens","E08000013",149362,86696,63566,63105,461,125,23005,22031,974,62666,38312,1025,2984,10348,9997
"2021","Sefton","E08000014",228905,126767,96870,96286,584,172,29725,28597,1128,102138,62591,1842,4110,17097,16498
"2021","Wirral","E08000015",259333,142918,108560,107776,784,216,34142,32657,1485,116415,70906,1906,5403,20442,17758
"2021","Kingston upon Hull, City of","E06000010",209318,112865,72474,71898,576,173,40218,38324,1894,96453,63253,2210,4659,15449,10882
"2021","East Riding of Yorkshire","E06000011",282011,183986,143728,142965,763,197,40061,38566,1495,98025,52918,2032,4619,18716,19740
"2021","North East Lincolnshire","E06000012",126019,73836,52898,52598,300,96,20842,20164,678,52183,30469,1020,2649,9944,8101
"2021","North Lincolnshire","E06000013",137806,86014,63851,63489,362,91,22072,21304,768,51792,29532,1322,2460,9521,8957
"2021","York","E06000014",160919,93414,69092,68418,674,108,24214,22930,1284,67505,44808,1229,2285,10127,9056
"2021","Craven","E07000163",47654,31114,24549,24367,182,31,6534,6326,208,16540,8851,364,821,3259,3245
"2021","Hambleton","E07000164",75883,50325,40683,40485,198,27,9615,9328,287,25558,13693,541,1211,4740,5373
"2021","Harrogate","E07000165",131311,84700,67689,67271,418,81,16930,16238,692,46611,25957,1001,2152,9357,8144
"2021","Richmondshire","E07000166",39022,25895,21153,21017,136,38,4704,4490,214,13127,7045,297,748,2562,2475
"2021","Ryedale","E07000167",45703,30202,23653,23515,138,39,6510,6300,210,15501,8333,350,732,2894,3192
"2021","Scarborough","E07000168",90723,54315,41108,40782,326,60,13147,12596,551,36408,19750,829,1784,7392,6653
"2021","Selby","E07000169",74881,50292,38343,38123,220,65,11884,11502,382,24589,14105,453,1251,4557,4223
"2021","Barnsley","E08000016",198097,120327,84837,84278,559,125,35365,33913,1452,77770,46133,1418,3882,14239,12098
"2021","Doncaster","E08000017",246026,145931,105485,104845,640,198,40248,38628,1620,100095,58969,2225,5032,18206,15663
"2021","Rotherham","E08000018",213729,129323,94576,94026,550,143,34604,33434,1170,84406,51041,1884,3916,13939,13626
"2021","Sheffield","E08000019",435667,241017,174980,173715,1265,321,65716,62515,3201,194650,131298,5399,7823,26067,24063
"2021","Bradford","E08000032",416168,229622,180485,179577,908,382,48755,46633,2122,186546,117309,9693,9830,27118,22596
"2021","Calderdale","E08000033",165378,96307,70922,70170,752,126,25259,24208,1051,69071,41577,1854,3557,12392,9691
"2021","Kirklees","E08000034",340811,200004,152731,151833,898,244,47029,45043,1986,140807,87429,4748,6685,22613,19332
"2021","Leeds","E08000035",637169,348896,249538,247565,1973,606,98752,93550,5202,288273,196500,7745,12081,39198,32749
"2021","Wakefield","E08000036",284037,173386,124192,123298,894,208,48986,47045,1941,110651,65635,2219,5526,20159,17112
"2021","Derby","E06000015",204812,113877,84847,84391,456,195,28835,27523,1312,90935,58576,3450,3914,13591,11404
"2021","Leicester","E06000016",277868,142421,114410,113910,500,278,27733,26238,1495,135447,92481,9413,4868,15106,13579
"2021","Rutland","E06000017",31274,21119,17343,17234,109,10,3766,3604,162,10155,5301,215,555,2000,2084
"2021","Nottingham","E06000018",241859,109984,75485,74766,719,222,34277,32435,1842,131875,97139,4256,4638,15067,10775
"2021","North Northamptonshire","E06000061",286266,177076,129080,128275,805,312,47684,45972,1712,109190,65410,2950,5910,19462,15458
"2021","West Northamptonshire","E06000062",337180,207712,155237,154245,992,331,52144,50022,2122,129468,80149,4565,6342,21518,16894
"2021","Amber Valley","E07000032",104068,66043,48983,48635,348,85,16975,16333,642,38025,21928,647,1840,7097,6513
"2021","Bolsover","E07000033",65636,41270,29156,28945,211,44,12070,11566,504,24366,13975,476,1213,4534,4168
"2021","Chesterfield","E07000034",85084,50518,36417,36173,244,59,14042,13414,628,34566,20022,593,1600,6813,5538
"2021","Derbyshire Dales","E07000035",59992,39613,31651,31432,219,34,7928,7626,302,20379,10949,445,970,3843,4172
"2021","Erewash","E07000036",92775,57401,41091,40818,273,78,16232,15582,650,35374,20977,563,1641,6469,5724
"2021","High Peak","E07000037",75019,46458,34659,34383,276,48,11751,11296,455,28561,16644,477,1388,5479,4573
"2021","North East Derbyshire","E07000038",84566,53994,41231,41001,230,65,12698,12276,422,30572,16923,514,1469,5809,5857
"2021","South Derbyshire","E07000039",85833,56353,41713,41430,283,78,14562,14022,540,29480,17446,619,1561,5237,4617
"2021","Blaby","E07000129",83255,53779,40738,40457,281,83,12958,12478,480,29476,17544,690,1334,4874,5034
"2021","Charnwood","E07000130",144440,86736,66684,66256,428,136,19916,19106,810,57704,37319,1292,2378,8689,8026
"2021","Harborough","E07000131",79131,52610,41661,41395,266,53,10896,10484,412,26521,15489,652,1229,4611,4540
"2021","Hinckley and Bosworth","E07000132",93178,60510,45600,45326,274,64,14846,14366,480,32668,18813,623,1615,6104,5513
"2021","Melton","E07000133",42582,27805,21516,21412,104,35,6254,6026,228,14777,8308,305,721,2765,2678
"2021","North West Leicestershire","E07000134",85723,55022,40532,40258,274,51,14439,13877,562,30701,18424,561,1466,5430,4820
"2021","Oadby and Wigston","E07000135",45376,27464,22551,22471,80,39,4874,4678,196,17912,10646,595,769,2709,3193
"2021","Boston","E07000136",56810,34557,24477,24345,132,49,10031,9639,392,22253,12676,804,1022,4090,3661
"2021","East Lindsey","E07000137",119080,76972,59371,58975,396,93,17508,16764,744,42108,21581,991,2078,8093,9365
"2021","Lincoln","E07000138",79833,41106,26736,26512,224,66,14304,13564,740,38727,26683,796,1474,6030,3744
"2021","North Kesteven","E07000139",96003,64476,50510,50184,326,68,13898,13400,498,31527,16935,589,1672,6205,6126
"2021","South Holland","E07000140",78226,50570,37541,37355,186,85,12944,12536,408,27656,14983,852,1288,5105,5428
"2021","South Kesteven","E07000141",116913,75548,58075,57765,310,93,17380,16780,600,41365,22901,760,2129,8268,7307
"2021","West Lindsey","E07000142",78007,50714,39239,38995,244,59,11416,11034,382,27293,14650,538,1488,5375,5242
"2021","Ashfield","E07000170",101732,62394,44347,44040,307,75,17972,17228,744,39338,23467,690,1918,6957,6306
"2021","Bassetlaw","E07000171",95153,60193,44921,44647,274,73,15199,14627,572,34960,19674,759,1764,6589,6174
"2021","Broxtowe","E07000172",90529,55850,42006,41776,230,76,13768,13224,544,34679,21316,723,1462,5573,5605
"2021","Gedling","E07000173",95854,59194,43706,43312,394,84,15404,14768,636,36660,22027,694,1642,6338,5959
"2021","Mansfield","E07000174",89387,54506,39001,38793,208,69,15436,14818,618,34881,20385,766,1693,6455,5582
"2021","Newark and Sherwood","E07000175",99656,63353,47373,47065,308,81,15899,15256,643,36303,20466,789,1794,6850,6404
"2021","Rushcliffe","E07000176",95177,62234,49244,48912,332,76,12914,12370,544,32943,19903,627,1393,5415,5605
"2021","Herefordshire, County of","E06000019",154838,97482,76042,75580,462,156,21284,20500,784,57356,32108,1449,2577,10938,10284
"2021","Telford and Wrekin","E06000020",146851,88516,64345,63913,432,125,24046,23044,1002,58335,35608,1553,2873,10353,7948
"2021","Stoke-on-Trent","E06000021",202378,114024,80679,80215,464,151,33194,31591,1603,88354,54925,2690,4517,14097,12125
"2021","Shropshire","E06000051",265483,169116,130691,129825,866,211,38214,36731,1483,96367,54639,2324,4282,17439,17683
"2021","Cannock Chase","E07000192",81991,51381,36678,36482,196,64,14639,14047,592,30610,18180,511,1470,5444,5005
"2021","East Staffordshire","E07000193",98600,61026,45835,45577,258,105,15086,14482,604,37574,22607,1104,1790,6232,5841
"2021","Lichfield","E07000194",87209,56916,44378,44154,224,56,12482,11974,508,30293,17378,603,1350,5294,5668
"2021","Newcastle-under-Lyme","E07000195",99977,60586,45010,44774,236,70,15506,14832,674,39391,23860,746,1723,6496,6566
"2021","South Staffordshire","E07000196",89564,58473,46678,46464,214,67,11728,11328,400,31091,17544,625,1311,5117,6494
"2021","Stafford","E07000197",111424,72160,55164,54828,336,88,16908,16194,714,39264,22403,737,1879,7310,6935
"2021","Staffordshire Moorlands","E07000198",79987,51999,40530,40345,185,69,11400,11022,378,27988,15674,589,1197,4733,5795
"2021","Tamworth","E07000199",63464,39310,28639,28509,130,55,10616,10236,380,24154,14634,433,1162,4323,3602
"2021","North Warwickshire","E07000218",53251,33487,24895,24729,166,33,8559,8232,327,19764,11820,357,949,3342,3296
"2021","Nuneaton and Bedworth","E07000219",107865,64861,48356,48082,274,94,16411,15801,610,43004,25969,1120,2147,7124,6644
"2021","Rugby","E07000220",90768,57062,43241,43011,230,77,13744,13192,552,33706,20362,1059,1558,5810,4917
"2021","Stratford-on-Avon","E07000221",111505,72950,57648,57346,302,98,15204,14612,592,38555,21209,964,1817,7407,7158
"2021","Warwick","E07000222",119417,71588,55092,54736,356,118,16378,15756,622,47829,31110,1125,1723,7484,6387
"2021","Bromsgrove","E07000234",79316,51523,41045,40841,204,63,10415,9958,457,27793,16094,533,1281,4823,5062
"2021","Malvern Hills","E07000235",65663,42588,33872,33648,224,50,8666,8318,348,23075,12683,542,1042,4302,4506
"2021","Redditch","E07000236",69928,42784,31468,31272,196,66,11250,10816,434,27144,16544,666,1335,4863,3736
"2021","Worcester","E07000237",83827,49009,34961,34720,241,64,13984,13338,646,34818,22255,751,1427,5930,4455
"2021","Wychavon","E07000238",109251,71980,56156,55820,336,108,15716,15118,598,37271,20885,781,1636,6991,6978
"2021","Wyre Forest","E07000239",83696,51325,38250,38047,203,69,13006,12520,486,32371,18121,613,1589,6276,5772
"2021","Birmingham","E08000025",863226,414572,326809,324752,2057,972,86791,81934,4857,448654,310273,21840,20317,52408,43816
"2021","Coventry","E08000026",264156,137586,104261,103743,518,254,33071,31403,1668,126570,85125,5183,5333,16941,13988
"2021","Dudley","E08000027",260607,153697,116330,115679,651,204,37163,35532,1631,106910,65628,2605,5044,16446,17187
"2021","Sandwell","E08000028",264046,139908,108079,107691,388,312,31517,30011,1506,124138,80258,5955,5985,16145,15795
"2021","Solihull","E08000029",173232,103910,84004,83666,338,188,19718,18940,778,69322,42853,1714,2784,10508,11463
"2021","Walsall","E08000030",221389,125012,95105,94695,410,234,29673,28436,1237,96377,60608,3494,4388,13462,14425
"2021","Wolverhampton","E08000031",205091,109329,83203,82787,416,190,25936,24786,1150,95762,61397,4065,4256,13373,12671
"2021","Peterborough","E06000031",165384,94525,69195,68861,334,226,25104,24120,984,70859,44008,3141,3533,12099,8078
"2021","Luton","E06000032",170400,89651,72412,72208,204,210,17029,16304,725,80749,53225,5541,3667,10149,8167
"2021","Southend-on-Sea","E06000033",144373,81393,58947,58479,468,140,22306,21234,1072,62980,38640,1376,3121,11580,8263
"2021","Thurrock","E06000034",135690,78816,58331,58146,185,227,20258,19588,670,56874,37124,2296,2730,8321,6403
"2021","Bedford","E06000055",145851,86470,65844,65446,398,176,20450,19575,875,59381,36914,2131,2848,9715,7773
"2021","Central Bedfordshire","E06000056",234297,151652,114503,113797,706,271,36878,35686,1192,82645,50181,1852,4143,14486,11983
"2021","Cambridge","E07000008",105695,53704,38048,37584,464,50,15606,14702,904,51991,38895,2177,1432,5852,3635
"2021","East Cambridgeshire","E07000009",70747,46673,36126,35870,256,54,10493,10136,357,24074,13771,616,1214,4465,4008
"2021","Fenland","E07000010",83445,51969,37307,37095,212,112,14550,13988,562,31476,17601,707,1570,5860,5738
"2021","Huntingdonshire","E07000011",145819,94230,72132,71685,447,138,21960,21226,734,51589,30015,1291,2553,9557,8173
"2021","South Cambridgeshire","E07000012",129065,85614,68578,68113,465,132,16904,16284,620,43451,26034,1178,2095,7406,6738
"2021","Basildon","E07000066",147877,87449,64948,64677,271,190,22311,21579,732,60428,37411,1515,3027,10157,8318
"2021","Braintree","E07000067",125345,79854,59962,59616,346,104,19788,19078,710,45491,26845,900,1999,8616,7131
"2021","Brentwood","E07000068",62260,38378,29849,29719,130,77,8452,8146,306,23882,14652,619,1068,3875,3668
"2021","Castle Point","E07000069",73981,45982,35772,35645,127,76,10134,9826,308,27999,16278,504,1132,4490,5595
"2021","Chelmsford","E07000070",145411,91097,70344,70022,322,159,20594,19768,826,54314,33410,1282,2246,9377,7999
"2021","Colchester","E07000071",151262,91057,67974,67484,490,166,22917,21922,995,60205,37492,1373,2873,10625,7842
