date,geography,geography code,Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census,"Occupation (current): 1. Managers, directors and senior officials",Occupation (current): 2. Professional occupations,Occupation (current): 3. Associate professional and technical occupations,Occupation (current): 4. Administrative and secretarial occupations,Occupation (current): 5. Skilled trades occupations,"Occupation (current): 6. Caring, leisure and other service occupations",Occupation (current): 7. Sales and customer service occupations,"Occupation (current): 8. Process, plant and machine operatives",Occupation (current): 9. Elementary occupations
2021,Barrow-in-Furness,E07000027,31183,2492,5711,3840,2441,4736,3566,2520,2301,3576
2021,Carlisle,E07000028,52948,5484,7894,5344,4792,6818,5251,4589,6291,6485
2021,Copeland,E07000029,30570,2807,5181,4124,2443,4328,2943,2032,2965,3747
2021,Eden,E07000030,27333,3671,3792,2700,2095,4960,2364,2077,2432,3242
2021,South Lakeland,E07000031,50137,7534,9048,5431,3865,7832,4555,3813,2664,5395
2021,Amber Valley,E07000032,60171,7635,10404,7440,5461,7697,5428,4428,5454,6224
2021,Bolsover,E07000033,38103,3841,5001,3924,3409,4661,4388,3206,3863,5810
2021,Chesterfield,E07000034,47532,4995,7994,5317,4528,5337,5679,4290,3865,5527
2021,Derbyshire Dales,E07000035,33230,5537,6783,3701,2802,4545,2650,1875,2275,3062
2021,Erewash,E07000036,54967,6133,9102,6609,5418,6881,5028,4547,4747,6502
2021,High Peak,E07000037,44614,5873,8839,5598,3694,5209,4453,3120,3593,4235
2021,North East Derbyshire,E07000038,46563,6028,8011,5492,4610,5813,4639,3731,3527,4712
2021,South Derbyshire,E07000039,53905,7651,10303,6889,5007,5736,4688,3607,4674,5350
2021,East Devon,E07000040,66727,9434,11683,8240,5925,9147,7043,5259,3597,6399
2021,Exeter,E07000041,59699,5846,14748,7326,5305,5353,5803,5109,3654,6555
2021,Mid Devon,E07000042,40283,5312,6482,4430,3586,6041,3907,3127,3277,4121
2021,North Devon,E07000043,45163,5749,6898,5067,3618,7162,4874,3406,3237,5152
2021,South Hams,E07000044,40582,6738,8286,5137,3261,6131,3274,2680,1729,3346
2021,Teignbridge,E07000045,62138,8403,11561,7544,5507,8125,6677,4663,3910,5748
2021,Torridge,E07000046,30053,3595,3801,2900,2524,5648,3723,2332,2211,3319
2021,West Devon,E07000047,25384,3458,4444,2889,2122,4264,2456,1751,1529,2471
2021,Eastbourne,E07000061,43832,4928,7784,5138,3906,4792,6068,3769,2554,4893
2021,Hastings,E07000062,40899,4437,6752,5489,3816,5063,5531,3410,2558,3843
2021,Lewes,E07000063,44507,6557,8783,6518,3919,5301,4522,2991,2322,3594
2021,Rother,E07000064,37934,5866,6478,4725,3745,5289,4322,2671,1827,3011
2021,Wealden,E07000065,74545,12879,13625,10220,7390,9736,7230,4892,3119,5454
2021,Basildon,E07000066,89011,10880,15369,11530,10680,9967,7924,6581,6499,9581
2021,Braintree,E07000067,76282,10693,12192,10303,7892,9669,7290,5565,5335,7343
2021,Brentwood,E07000068,37901,7010,8922,6046,4613,3263,2536,1878,1496,2137
2021,Castle Point,E07000069,41006,5373,5837,5381,5352,5501,3806,3106,3152,3498
2021,Chelmsford,E07000070,89862,13598,20713,13126,9815,8348,6873,5736,4399,7254
2021,Colchester,E07000071,92015,11921,18906,13059,8486,9315,9682,6866,5425,8355
2021,Epping Forest,E07000072,65796,12368,13155,9395,7991,6959,4587,3561,3371,4409
2021,Harlow,E07000073,45981,4808,6889,5202,4968,5411,4800,3669,4302,5932
2021,Maldon,E07000074,31255,5186,4980,4132,3538,4224,2414,2192,1974,2615
2021,Rochford,E07000075,40658,5903,7360,6021,5392,4730,3317,2677,2329,2929
2021,Tendring,E07000076,58280,7191,7457,6596,5591,8071,7829,5007,4518,6020
2021,Uttlesford,E07000077,45743,8868,9467,7026,4584,4670,3478,2525,2101,3024
2021,Cheltenham,E07000078,59158,7892,14593,7823,6836,4921,4702,4264,2805,5322
2021,Cotswold,E07000079,44079,8540,8375,5834,3804,5403,3585,2872,1972,3694
2021,Forest of Dean,E07000080,39992,5126,6221,4875,3797,5815,4347,2677,3192,3942
2021,Gloucester,E07000081,65621,6245,10844,8019,7174,7208,7580,5648,5576,7327
2021,Stroud,E07000082,59918,8984,12574,8210,5380,7354,5190,3714,3617,4895
2021,Tewkesbury,E07000083,46524,6696,9517,6392,5693,4804,3883,3168,2790,3581
2021,Basingstoke and Deane,E07000084,96973,13857,21125,14431,9512,9272,8282,6553,5349,8592
2021,East Hampshire,E07000085,61732,10897,13136,8701,5745,6989,5778,3536,2617,4333
2021,Eastleigh,E07000086,69515,9404,14903,9932,7344,7603,6187,5050,3863,5229
2021,Fareham,E07000087,55631,7953,11632,9159,6154,5586,4593,3940,2611,4003
2021,Gosport,E07000088,38484,4077,5272,5804,4031,4766,4610,3170,2593,4161
2021,Hart,E07000089,50445,9507,11749,8737,4762,4544,3698,2774,1769,2905
2021,Havant,E07000090,56368,6844,9199,6950,5286,7625,6126,4696,4018,5624
2021,New Forest,E07000091,78702,11997,13956,9927,7715,9971,8252,5386,4498,7000
2021,Rushmoor,E07000092,53014,6008,9262,8137,5072,5452,5980,4017,3118,5968
2021,Test Valley,E07000093,65861,10383,13522,9305,7023,6516,5275,4160,3896,5781
2021,Winchester,E07000094,60574,11084,16313,8850,5069,5066,4368,3320,2038,4466
2021,Broxbourne,E07000095,48306,6696,7767,6405,5835,5806,4033,3455,3637,4672
2021,Dacorum,E07000096,77199,12798,16172,11749,7353,7396,6181,4949,3979,6622
2021,Hertsmere,E07000098,52766,9198,12243,7478,5665,4607,4296,2997,2583,3699
2021,North Hertfordshire,E07000099,67161,10803,17135,10326,5895,5838,4991,4105,3290,4778
2021,Three Rivers,E07000102,46948,8784,11673,6916,4805,4157,3421,2369,1887,2936
2021,Watford,E07000103,52859,6703,12278,7136,4928,4916,4570,3774,3224,5330
2021,Ashford,E07000105,63616,9171,11751,8251,5811,7322,5812,4895,4350,6253
2021,Canterbury,E07000106,66164,8502,14588,8689,5530,6890,6524,5248,3466,6727
2021,Dartford,E07000107,58824,7555,12101,7748,6827,6203,4860,4068,4062,5400
2021,Dover,E07000108,50926,5998,7795,7505,4774,5860,6303,3913,3737,5041
2021,Gravesham,E07000109,49761,6005,7846,6125,5188,5590,4639,3797,4387,6184
2021,Maidstone,E07000110,86407,12732,15817,12106,8635,9423,7124,5894,5939,8737
2021,Sevenoaks,E07000111,56382,10668,12361,8215,5812,5892,4078,3208,2463,3685
2021,Folkestone and Hythe,E07000112,47817,6167,7610,6934,4324,5592,5681,3962,3132,4415
2021,Swale,E07000113,69203,8539,10281,9022,6850,8591,6482,4882,6269,8287
2021,Thanet,E07000114,59190,7096,9544,7433,5135,6913,7762,4916,4083,6308
2021,Tonbridge and Malling,E07000115,64424,10664,13058,9610,6728,6666,5106,4187,3346,5059
2021,Tunbridge Wells,E07000116,55895,10209,13095,8175,4905,5128,4438,3608,2098,4239
2021,Burnley,E07000117,40038,3652,5577,4284,3490,4778,4775,3536,4088,5858
2021,Chorley,E07000118,57244,8036,11870,7928,5443,5815,5299,3877,3793,5183
2021,Fylde,E07000119,35712,5208,7685,4893,3623,3503,3423,2478,1953,2946
2021,Hyndburn,E07000120,35627,3346,4984,3955,3297,4671,4414,3263,3847,3850
2021,Lancaster,E07000121,62401,6581,12488,7430,4961,7340,7516,5024,4483,6578
2021,Pendle,E07000122,39623,4070,5701,4083,3159,5373,4135,3673,4558,4871
2021,Preston,E07000123,66634,6171,12745,7639,6669,6043,7165,6057,5574,8571
2021,Ribble Valley,E07000124,30385,5125,6818,3989,2681,3772,2522,1645,1662,2171
2021,Rossendale,E07000125,33116,4316,6256,4366,2762,3993,3508,2598,2448,2869
2021,South Ribble,E07000126,54711,6556,10836,7565,6042,6115,5029,4207,3791,4570
2021,West Lancashire,E07000127,53546,7088,9972,6289,4921,5499,5222,4121,4357,6077
2021,Wyre,E07000128,47835,5996,8584,5679,5727,5959,5089,3469,3136,4196
2021,Blaby,E07000129,51446,6656,9936,7193,5417,6194,4448,3623,3398,4581
2021,Charnwood,E07000130,84800,11078,17495,11622,7932,9048,7449,6172,5826,8178
2021,Harborough,E07000131,48772,8799,10831,6993,4486,5046,3500,2903,2358,3856
2021,Hinckley and Bosworth,E07000132,55889,7756,10160,7534,5742,6364,4821,3701,4050,5761
2021,Melton,E07000133,25466,3880,4183,3095,2303,3236,2370,1653,2156,2590
2021,North West Leicestershire,E07000134,51961,7305,8940,6845,4828,5962,4407,3642,4481,5551
2021,Oadby and Wigston,E07000135,25989,2997,5815,3255,2784,2437,2439,2093,1793,2376
2021,Boston,E07000136,33631,2843,3598,2475,2550,3702,3403,2631,6272,6157
2021,East Lindsey,E07000137,55579,7297,6788,5789,4710,8050,6604,4795,4720,6826
2021,Lincoln,E07000138,46718,3745,7225,5172,3728,4649,5323,4922,4893,7061
2021,North Kesteven,E07000139,56892,7665,9946,8580,6036,6556,5561,3753,3915,4880
2021,South Holland,E07000140,45236,5190,4964,4162,4082,5993,4130,3254,6976,6485
2021,South Kesteven,E07000141,68194,9865,11819,8785,6339,7790,6337,4913,5193,7153
2021,West Lindsey,E07000142,42137,5742,7453,5085,3877,5323,4337,3073,3324,3923
2021,Breckland,E07000143,65638,8022,8545,7596,5767,8759,7031,4997,6821,8100
2021,Broadland,E07000144,62589,8232,11298,8134,6743,8066,6117,5035,3832,5132
2021,Great Yarmouth,E07000145,41136,4037,4911,4127,3743,5220,5347,3722,4277,5752
2021,King's Lynn and West Norfolk,E07000146,69223,8301,9525,7527,6143,9702,7568,5225,6888,8344
2021,North Norfolk,E07000147,41659,5718,5304,4227,3403,6875,4957,3607,2753,4815
2021,Norwich,E07000148,65720,5633,14691,8202,5095,5904,6762,6275,4545,8613
2021,South Norfolk,E07000149,67749,9422,14379,8817,6436,8206,6212,4541,4116,5620
2021,Craven,E07000163,27132,4021,5434,3268,2215,4105,2280,1768,1538,2503
2021,Hambleton,E07000164,43405,6726,8118,5576,4121,5891,3593,2798,2504,4078
2021,Harrogate,E07000165,79685,14164,16579,11440,6995,8239,6697,5456,3426,6689
2021,Richmondshire,E07000166,24679,3558,3353,4603,2111,3542,2222,1521,1350,2419
2021,Ryedale,E07000167,25960,3875,3962,2728,2050,4374,2527,1792,1875,2777
2021,Scarborough,E07000168,46550,5495,6289,4630,3410,7213,5607,4047,3746,6113
2021,Selby,E07000169,46127,6840,8419,6274,4263,5162,3713,3360,3794,4302
2021,Ashfield,E07000170,58430,5645,8128,6422,5599,7766,6339,5161,5640,7730
2021,Bassetlaw,E07000171,54919,6836,7967,5934,4581,6525,5745,4164,6039,7128
2021,Broxtowe,E07000172,51916,5830,12754,6868,4992,5181,3961,3873,3320,5137
2021,Gedling,E07000173,56187,7026,11693,7670,5625,6236,5203,4385,3360,4989
2021,Mansfield,E07000174,51367,4976,6575,5462,4363,6299,5826,4337,5093,8436
2021,Newark and Sherwood,E07000175,57117,7801,9033,7048,4909,6617,5750,4283,4817,6859
2021,Rushcliffe,E07000176,56978,9946,17011,8403,4947,4264,3644,3103,1975,3685
2021,Cherwell,E07000177,84972,11634,16522,11364,7778,8701,6661,6674,6628,9010
2021,Oxford,E07000178,73329,6732,26873,8620,4723,4607,5985,4221,3724,7844
2021,South Oxfordshire,E07000179,76476,13483,18786,11387,6773,7522,5575,4061,3325,5564
2021,Vale of White Horse,E07000180,70864,10709,19019,10630,6325,6780,5179,3833,3345,5044
2021,West Oxfordshire,E07000181,58923,9428,12007,8946,5521,6745,5105,3476,3170,4525
2021,Mendip,E07000187,55669,7979,9577,6931,4562,7408,5517,4117,4075,5503
2021,Sedgemoor,E07000188,59147,7220,8208,6219,5170,8235,6307,4355,5497,7936
2021,South Somerset,E07000189,80931,9784,12597,10060,7286,11811,8469,6245,6253,8426
2021,Cannock Chase,E07000192,48876,5429,6719,5789,4675,6953,4814,4112,4597,5788
2021,East Staffordshire,E07000193,59320,7247,9179,6301,5218,6264,4862,4302,6532,9415
2021,Lichfield,E07000194,50472,8452,10500,6694,4780,5392,3775,3261,2983,4635
2021,Newcastle-under-Lyme,E07000195,56682,6024,10116,6659,5220,6606,5791,4861,4433,6972
2021,South Staffordshire,E07000196,50699,7795,9821,6626,5573,6343,4038,3345,3039,4119
2021,Stafford,E07000197,65768,9092,13873,9161,6026,6473,5498,4732,3950,6963
2021,Staffordshire Moorlands,E07000198,45035,5913,7590,5325,3938,6543,4484,3139,3743,4360
2021,Tamworth,E07000199,38155,4191,4971,4398,3973,4125,3320,3502,3982,5693
2021,Babergh,E07000200,42957,6371,7361,5784,4144,5688,3946,3085,2671,3907
2021,Ipswich,E07000202,67026,6066,11334,7906,6253,6834,7133,6370,6347,8783
2021,Mid Suffolk,E07000203,50024,7402,8948,6776,4940,6553,4341,3235,3403,4426
2021,Elmbridge,E07000207,66980,16432,17652,10820,5545,4189,4495,3001,1828,3018
2021,Epsom and Ewell,E07000208,39909,7020,10663,5958,4095,3242,3304,2031,1404,2192
2021,Guildford,E07000209,69774,12141,18410,11207,5849,5682,5465,4077,2338,4605
2021,Mole Valley,E07000210,42341,8321,10140,6392,4063,4156,3429,2168,1285,2387
2021,Reigate and Banstead,E07000211,75125,13005,18485,11393,7387,6461,6726,4104,2957,4607
2021,Runnymede,E07000212,42457,7078,9235,6344,4175,4010,3716,2756,1872,3271
2021,Spelthorne,E07000213,51539,7477,10061,7719,6055,5064,4417,3397,3250,4099
2021,Surrey Heath,E07000214,45363,8378,10390,7054,4490,3889,3743,2736,1824,2859
2021,Tandridge,E07000215,42576,8361,9177,6669,4498,4144,3565,2157,1679,2326
2021,Waverley,E07000216,60722,12671,15528,9256,4951,5301,4737,3027,1710,3541
2021,Woking,E07000217,52741,8666,13423,7777,4879,4298,4299,3190,2500,3709
2021,North Warwickshire,E07000218,31754,4243,4816,3928,3331,3752,2721,2218,2814,3931
2021,Nuneaton and Bedworth,E07000219,63114,6264,9985,7477,6311,6608,6224,4976,6108,9161
2021,Rugby,E07000220,58106,7546,11798,7302,5262,4954,4137,3762,4483,8862
2021,Stratford-on-Avon,E07000221,66236,12363,14213,9233,5890,7299,4777,4247,2897,5317
2021,Warwick,E07000222,72748,11452,21877,10382,5851,5590,4920,4299,3013,5364
2021,Adur,E07000223,29825,3733,5345,4216,2823,3820,3115,2411,1807,2555
2021,Arun,E07000224,73191,9715,10532,8549,6840,9244,8594,5833,5525,8359
2021,Chichester,E07000225,56366,9565,11241,8152,4530,6561,5243,3640,2478,4956
2021,Crawley,E07000226,58903,5955,8798,7254,5770,5330,6828,5601,5531,7836
2021,Horsham,E07000227,72167,12689,15238,11458,6842,7090,6338,4557,2994,4961
2021,Mid Sussex,E07000228,76572,13156,17539,11989,7231,6878,6923,4567,3009,5280
2021,Worthing,E07000229,53557,6680,10711,7625,5279,5627,6159,4024,2875,4577
2021,Bromsgrove,E07000234,47287,8088,11774,6463,4697,4735,3672,2569,2120,3169
2021,Malvern Hills,E07000235,35800,5950,7718,4400,3280,4441,3133,2248,1849,2781
2021,Redditch,E07000236,42692,4719,6675,5027,4125,5060,3832,3569,4678,5007
2021,Worcester,E07000237,51629,5584,10280,6689,4794,4867,5125,4140,4106,6044
2021,Wychavon,E07000238,63660,10301,11442,7893,5973,7366,5448,4537,4709,5991
2021,Wyre Forest,E07000239,45786,5831,7070,5264,4333,6005,4925,3770,3760,4828
2021,St Albans,E07000240,72871,15131,22216,11484,5914,4350,4420,3434,2118,3804
2021,Welwyn Hatfield,E07000241,58149,8411,12148,7923,5630,5136,4982,4603,3191,6125
2021,East Hertfordshire,E07000242,76524,13957,17041,12088,7727,7108,5869,4148,3418,5168
2021,Stevenage,E07000243,45460,4848,8727,6034,4467,5145,4603,3636,3369,4631
2021,East Suffolk,E07000244,106366,13786,16909,13244,10157,13291,11322,8480,8182,10995
2021,West Suffolk,E07000245,89619,11402,14748,13094,8094,10962,9252,5825,6778,9464
2021,Somerset West and Taunton,E07000246,73295,9103,13379,8695,6375,9242,9051,5243,4792,7415
2021,Bolton,E08000001,125438,13286,21197,15019,12357,12663,12393,12227,11486,14810
2021,Bury,E08000002,88485,11113,18354,12059,9075,8038,8482,7351,6042,7971
