date,geography,geography code,Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census,"Occupation (current): 1. Managers, directors and senior officials",Occupation (current): 2. Professional occupations,Occupation (current): 3. Associate professional and technical occupations,Occupation (current): 4. Administrative and secretarial occupations,Occupation (current): 5. Skilled trades occupations,"Occupation (current): 6. Caring, leisure and other service occupations",Occupation (current): 7. Sales and customer service occupations,"Occupation (current): 8. Process, plant and machine operatives",Occupation (current): 9. Elementary occupations
2021,Hillingdon,E09000017,142803,18524,30087,18036,14401,13152,12044,10772,10752,15035
2021,Hounslow,E09000018,138800,17914,27755,17668,12160,12138,11345,11117,10067,18636
2021,Islington,E09000019,114972,17439,39312,22879,7333,4945,6756,5601,3496,7211
2021,Kensington and Chelsea,E09000020,69441,18485,19186,12294,4117,2221,5064,3182,1678,3214
2021,Kingston upon Thames,E09000021,84148,14674,23933,13140,7171,5769,5947,5296,2854,5364
2021,Lambeth,E09000022,182819,25695,55140,34580,12564,9463,13130,8956,6187,17104
2021,Lewisham,E09000023,155713,20155,41888,27269,11892,10473,13363,9774,6369,14530
2021,Merton,E09000024,112065,17692,29411,16337,9159,9115,8623,7030,5202,9496
2021,Newham,E09000025,163445,15522,32704,19608,12621,16496,14189,14529,11822,25954
2021,Redbridge,E09000026,141627,18627,34456,17250,14551,12846,9843,10747,9229,14078
2021,Richmond upon Thames,E09000027,97566,23031,30417,17549,6935,4478,5468,3749,2187,3752
2021,Southwark,E09000028,166947,23109,51143,28878,11443,8030,12816,8705,5990,16833
2021,Sutton,E09000029,104222,14604,25047,14218,11239,10383,9022,6802,5380,7527
2021,Tower Hamlets,E09000030,155392,20628,49021,27819,11184,7508,9276,10470,6949,12537
2021,Waltham Forest,E09000031,140372,17473,32185,21194,11608,14037,10474,9284,8341,15776
2021,Wandsworth,E09000032,190442,35827,61870,37329,13285,7838,11073,8031,5178,10011
2021,Westminster,E09000033,101742,22858,31136,17588,6750,3481,6187,5211,2781,5750
2021,Isle of Anglesey,W06000001,29202,3167,4716,3179,2482,4547,3638,2522,2065,2886
2021,Gwynedd,W06000002,51818,5360,9055,5266,3864,8277,6652,4118,3562,5664
2021,Conwy,W06000003,48722,5936,8308,5596,4093,6521,6327,4194,2984,4763
2021,Denbighshire,W06000004,40846,4563,7009,4490,3448,5368,5307,3310,3272,4079
2021,Flintshire,W06000005,73819,8077,12180,8660,6918,9009,7338,5853,7719,8065
2021,Wrexham,W06000006,61805,5980,9723,6627,5770,7534,7044,4694,7140,7293
2021,Ceredigion,W06000008,30119,3363,5368,3108,2452,5437,3147,2408,1712,3124
2021,Pembrokeshire,W06000009,52768,6112,7598,5388,4142,9059,6845,4140,3831,5653
2021,Carmarthenshire,W06000010,81953,8341,13868,8829,7241,12162,10086,6822,6435,8169
2021,Swansea,W06000011,100613,9888,20070,11489,11025,10407,10956,9527,6350,10901
2021,Neath Port Talbot,W06000012,59189,5200,9256,6815,6706,7075,7272,5112,5355,6398
2021,Bridgend,W06000013,63984,6715,11567,7955,5803,7264,7322,5449,5182,6727
2021,Vale of Glamorgan,W06000014,59915,8171,13209,8717,5979,5518,6189,4672,3013,4447
2021,Cardiff,W06000015,160439,16879,43189,22367,15235,11633,14315,14181,7965,14675
2021,Rhondda Cynon Taff,W06000016,103389,9238,16862,11948,9827,13018,12900,8980,9330,11286
2021,Caerphilly,W06000018,77439,7248,11986,9388,7980,9026,8644,6628,7859,8680
2021,Blaenau Gwent,W06000019,28800,2217,3483,2803,2295,3390,4324,2437,3952,3899
2021,Torfaen,W06000020,40657,3949,6130,4982,4181,4788,4691,3462,3916,4558
2021,Monmouthshire,W06000021,42830,6573,9315,5427,3794,4895,3538,2824,2485,3979
2021,Newport,W06000022,72786,7420,13767,9109,7623,6347,6761,6534,6140,9085
2021,Powys,W06000023,61726,7396,9056,6334,5038,12196,6553,4217,4610,6326
2021,Merthyr Tydfil,W06000024,25633,2144,3751,2799,2220,3140,3183,2475,2597,3324
