date,geography,geography code,Disability: Total: All usual residents,Disability: Disabled under the Equality Act,Disability: Disabled under the Equality Act: Day-to-day activities limited a lot,Disability: Disabled under the Equality Act: Day-to-day activities limited a little,Disability: Not disabled under the Equality Act,Disability: Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,Disability: Not disabled under the Equality Act: No long term physical or mental health conditions
2021,Worcestershire,E10000034,603676,108494,43520,64974,495182,46950,448232
2021,Isle of Anglesey,W06000001,68876,14245,6502,7743,54631,4399,50232
2021,Gwynedd,W06000002,117393,22511,9805,12706,94882,7378,87504
2021,Conwy,W06000003,114741,25944,11920,14024,88797,7673,81124
2021,Denbighshire,W06000004,95817,22368,10672,11696,73449,6362,67087
2021,Flintshire,W06000005,154962,29542,13253,16289,125420,10806,114614
2021,Wrexham,W06000006,135117,27625,12708,14917,107492,8802,98690
2021,Ceredigion,W06000008,71474,15637,6686,8951,55837,4845,50992
2021,Pembrokeshire,W06000009,123360,27173,12522,14651,96187,8116,88071
2021,Carmarthenshire,W06000010,187895,43152,21255,21897,144743,11654,133089
2021,Swansea,W06000011,238490,53484,26536,26948,185006,15640,169366
2021,Neath Port Talbot,W06000012,142289,35676,18753,16923,106613,8820,97793
2021,Bridgend,W06000013,145487,32932,16373,16559,112555,10408,102147
2021,Vale of Glamorgan,W06000014,131939,26289,11808,14481,105650,9919,95731
2021,Cardiff,W06000015,362307,67506,29849,37657,294801,25299,269502
2021,Rhondda Cynon Taff,W06000016,237651,56001,28249,27752,181650,15143,166507
2021,Caerphilly,W06000018,175952,41562,21226,20336,134390,11115,123275
2021,Blaenau Gwent,W06000019,66904,16656,8895,7761,50248,3855,46393
2021,Torfaen,W06000020,92276,21501,10477,11024,70775,6215,64560
2021,Monmouthshire,W06000021,92957,17979,7668,10311,74978,7609,67369
2021,Newport,W06000022,159592,31467,15046,16421,128125,10040,118085
2021,Powys,W06000023,133169,27012,11648,15364,106157,9208,96949
2021,Merthyr Tydfil,W06000024,58839,14002,7555,6447,44837,3230,41607
