from_id,to_id,travel_time
E00056112,4732,23.0
E00056112,7709,29.0
E00056109,7709,24.0
E00056110,7709,28.0
E00056067,4732,7.0
E00056068,4732,19.0
E00056044,4732,16.0
E00056044,7709,26.0
E00056060,4732,18.0
E00056060,7709,28.0
E00056043,4732,9.0
E00056059,4732,24.0
E00056059,10575,25.0
E00056061,4732,21.0
E00056061,10575,20.0
E00055517,4732,14.0
E00056058,4732,19.0
E00056055,4732,24.0
E00056055,10575,19.0
E00056075,4732,20.0
E00178667,4732,20.0
E00178671,10575,26.0
E00056063,4732,24.0
E00056063,10575,22.0
E00178661,4732,30.0
E00178661,10575,20.0
E00178683,10575,21.0
E00056053,4732,28.0
E00056053,10575,8.0
E00178687,10575,11.0
E00175532,4732,18.0
E00175532,11011,26.0
E00056057,4732,20.0
E00056056,3906,29.0
E00056056,4732,24.0
E00056056,10136,29.0
E00055516,4732,23.0
E00055516,10575,14.0
E00175544,4732,19.0
E00175544,11011,26.0
E00055519,4732,25.0
E00055519,10575,16.0
E00055518,4732,29.0
E00055518,10575,19.0
E00055518,11011,25.0
E00175531,934,30.0
E00175531,3906,28.0
E00175531,4732,24.0
E00175531,10136,28.0
E00175531,11011,30.0
E00055515,4732,27.0
E00055515,10575,12.0
E00055515,11011,28.0
E00055556,934,30.0
E00055556,4732,23.0
E00055556,10575,24.0
E00055556,11011,21.0
E00056108,7709,27.0
E00056108,10528,30.0
E00056107,4732,26.0
E00055613,10528,29.0
E00055614,7709,30.0
E00055614,10528,27.0
E00056259,10528,28.0
E00055567,10528,23.0
E00055611,10528,24.0
E00055608,3906,28.0
E00055608,10136,28.0
E00055608,10528,26.0
E00055561,4732,28.0
E00055561,10575,16.0
E00055561,11011,23.0
E00055557,4732,28.0
E00055557,10575,12.0
E00055557,11011,26.0
E00055563,934,26.0
E00055563,3906,24.0
E00055563,4732,25.0
E00055563,10136,24.0
E00055563,11011,28.0
E00055562,934,28.0
E00055562,3906,25.0
E00055562,10136,25.0
E00055562,11011,30.0
E00055514,934,27.0
E00055514,3906,26.0
E00055514,4732,25.0
E00055514,10136,26.0
E00055514,11011,24.0
E00055560,934,23.0
E00055560,3906,22.0
E00055560,4732,28.0
E00055560,10136,22.0
E00055560,11011,26.0
E00055558,4732,30.0
E00055558,10575,8.0
E00055558,11011,27.0
E00055559,10575,13.0
E00055559,11011,26.0
E00055546,934,24.0
E00055546,3906,23.0
E00055546,4732,29.0
E00055546,10136,23.0
E00055546,11011,22.0
E00055541,934,30.0
E00055541,10575,6.0
E00055541,11011,21.0
E00055610,10528,22.0
E00055607,3906,28.0
E00055607,10136,28.0
E00055607,10528,23.0
E00056249,10528,22.0
E00055609,10528,19.0
E00056253,10528,24.0
E00055606,3906,24.0
E00055606,10136,24.0
E00055606,10528,21.0
E00055605,934,26.0
E00055605,3906,19.0
E00055605,10136,19.0
E00055605,10528,23.0
E00055605,11011,29.0
E00178710,10528,20.0
E00055604,3906,28.0
E00055604,10136,28.0
E00055604,10528,15.0
E00055555,934,22.0
E00055555,3906,25.0
E00055555,4732,29.0
E00055555,10136,25.0
E00055555,10575,16.0
E00055555,11011,13.0
E00055550,934,22.0
E00055550,3906,24.0
E00055550,4732,29.0
E00055550,10136,24.0
E00055550,11011,16.0
E00055548,934,23.0
E00055548,3906,18.0
E00055548,10136,18.0
E00055548,10528,29.0
E00055548,11011,26.0
E00055553,934,21.0
E00055553,3906,21.0
E00055553,10136,21.0
E00055553,11011,15.0
E00055551,934,24.0
E00055551,3906,19.0
E00055551,10136,19.0
E00055551,11011,28.0
E00055549,934,21.0
E00055549,3906,17.0
E00055549,10136,17.0
E00055549,10528,26.0
E00055549,11011,25.0
E00055552,934,21.0
E00055552,3906,24.0
E00055552,10136,24.0
E00055552,10575,17.0
E00055552,11011,12.0
E00055547,934,19.0
E00055547,3906,13.0
E00055547,10136,13.0
E00055547,10528,24.0
E00055547,10730,30.0
E00055547,11011,23.0
E00055544,934,14.0
E00055544,3906,13.0
E00055544,9495,30.0
E00055544,10136,13.0
E00055544,10528,29.0
E00055544,11011,17.0
E00055513,934,15.0
E00055513,3906,12.0
E00055513,10136,12.0
E00055513,10528,27.0
E00055513,11011,18.0
E00056091,4732,27.0
E00178658,4732,30.0
E00060124,983,21.0
E00057959,6204,28.0
E00057959,6853,27.0
E00057960,4665,23.0
E00057960,6204,12.0
E00057960,6853,11.0
E00057960,9669,23.0
E00057960,9688,23.0
E00057957,4665,30.0
E00057957,6204,18.0
E00057957,6853,18.0
E00057957,9669,26.0
E00057957,9688,26.0
E00057902,6204,21.0
E00057902,6853,20.0
E00057902,9669,22.0
E00057902,9688,22.0
E00058179,3363,27.0
E00058193,3363,21.0
E00058190,3363,22.0
E00057956,4665,16.0
E00057956,6204,10.0
E00057956,6853,9.0
E00057956,9669,25.0
E00057956,9688,25.0
E00057949,4665,12.0
E00057949,6204,14.0
E00057949,6853,14.0
E00057949,9669,26.0
E00057949,9688,26.0
E00057903,4665,11.0
E00057903,6204,9.0
E00057903,6853,8.0
E00057903,9669,24.0
E00057903,9688,24.0
E00057920,4665,12.0
E00057920,6204,7.0
E00057920,6853,7.0
E00057920,9669,23.0
E00057920,9688,23.0
E00057952,4665,10.0
E00057952,6204,9.0
E00057952,6853,12.0
E00057952,9669,23.0
E00057952,9688,23.0
E00057945,4665,13.0
E00057945,6204,2.0
E00057945,6853,5.0
E00057945,9669,17.0
E00057945,9688,17.0
E00057944,4665,14.0
E00057944,6204,2.0
E00057944,6853,5.0
E00057944,9669,15.0
E00057944,9688,15.0
E00057947,4665,7.0
E00057947,6204,10.0
E00057947,6853,13.0
E00057947,9669,20.0
E00057947,9688,20.0
E00056248,10528,19.0
E00055603,3906,23.0
E00055603,10136,23.0
E00055603,10528,19.0
E00178703,10528,26.0
E00056254,10528,21.0
E00178696,3906,30.0
E00178696,10136,30.0
E00178696,10528,15.0
E00056208,10528,21.0
E00055602,934,23.0
E00055602,3906,16.0
E00055602,10136,16.0
E00055602,10528,20.0
E00055602,11011,28.0
E00056244,10528,24.0
E00055600,934,27.0
E00055600,3906,20.0
E00055600,10136,20.0
E00055600,10528,14.0
E00056245,10528,15.0
E00055597,10528,13.0
E00055599,934,23.0
E00055599,3906,16.0
E00055599,10136,16.0
E00055599,10528,17.0
E00055599,11011,28.0
E00056213,10528,13.0
E00056246,10528,20.0
E00055598,934,24.0
E00055598,3906,17.0
E00055598,10136,17.0
E00055598,10528,13.0
E00055598,10730,30.0
E00055598,11011,30.0
E00055596,3906,28.0
E00055596,10136,28.0
E00055596,10528,10.0
E00056240,10528,16.0
E00055593,934,21.0
E00055593,3906,14.0
E00055593,10136,14.0
E00055593,10528,16.0
E00055593,10730,27.0
E00055593,11011,27.0
E00056241,10528,28.0
E00055594,934,18.0
E00055594,3906,11.0
E00055594,9495,27.0
E00055594,10136,11.0
E00055594,10528,18.0
E00055594,10730,25.0
E00055594,11011,24.0
E00056050,10575,16.0
E00056052,10575,6.0
E00056048,10575,15.0
E00056046,10575,10.0
E00055554,10575,3.0
E00055554,11011,24.0
E00056047,10575,12.0
E00056051,10575,17.0
E00055530,10575,26.0
E00055527,934,29.0
E00055527,10575,26.0
E00055527,11011,20.0
E00055512,934,16.0
E00055512,3906,11.0
E00055512,10136,11.0
E00055512,10528,25.0
E00055512,10730,30.0
E00055512,11011,20.0
E00055545,934,20.0
E00055545,3906,13.0
E00055545,10136,13.0
E00055545,10528,23.0
E00055545,10730,29.0
E00055545,11011,24.0
E00055543,934,13.0
E00055543,3906,16.0
E00055543,10136,16.0
E00055543,10575,30.0
E00055543,11011,7.0
E00055542,934,13.0
E00055542,3906,12.0
