date,geography,geography code,National identity: Total: All usual residents,National identity: British only identity,National identity: English only identity,National identity: English and British only identity,National identity: Welsh only identity,National identity: Welsh and British only identity,National identity: Any other combination of only UK identities,National identity: Scottish only identity,National identity: Scottish and British only identity,National identity: Northern Irish only identity,National identity: Northern Irish and British only identity,National identity: Cornish only identity,National identity: Cornish and British only identity,National identity: Any other combination of only UK identities ,National identity: Irish only identity,National identity: Irish and at least one UK identity,National identity: Other identity only,National identity: Other identity and at least one UK identity,National identity: Non-UK identity only,National identity: UK identity and non-UK identity
2021,Wigan,E08000010,329329,190146,57903,62978,628,224,1893,836,328,317,121,17,0,274,769,120,12669,1999,13438,2119
2021,Knowsley,E08000011,154520,97192,22419,27572,266,94,755,263,101,218,59,2,2,110,488,72,4792,870,5280,942
2021,Liverpool,E08000012,486090,284327,60220,71841,2952,998,6202,1365,462,2845,692,30,5,803,4134,654,47571,7191,51705,7845
2021,St. Helens,E08000013,183250,108435,30994,35116,405,161,1080,476,170,192,63,6,0,173,561,90,5387,1021,5948,1111
2021,Sefton,E08000014,279233,172535,43536,45271,770,290,2480,1067,457,479,126,8,0,343,1180,263,10905,2003,12085,2266
2021,Wirral,E08000015,320198,200663,47652,54259,1624,653,2889,1070,454,571,198,16,1,579,1413,342,8248,2455,9661,2797
2021,Barnsley,E08000016,244573,137612,44081,48522,325,163,1339,724,242,133,52,4,4,180,281,80,10644,1526,10925,1606
2021,Doncaster,E08000017,308108,172225,51214,56924,532,175,2778,1536,575,242,96,19,2,308,529,100,20999,2632,21528,2732
2021,Rotherham,E08000018,265810,154085,48223,49188,329,124,1458,778,296,120,53,6,1,204,355,83,10168,1797,10523,1880
2021,Sheffield,E08000019,556521,319878,79703,89721,1109,527,3967,1539,694,561,246,37,13,877,1453,596,49402,10165,50855,10761
2021,Newcastle upon Tyne,E08000021,300125,172289,33173,48109,474,213,5136,2073,927,1045,386,16,2,687,1198,346,33352,5835,34550,6181
2021,North Tyneside,E08000022,208967,131431,29843,36015,267,102,3094,1682,616,346,164,14,2,270,477,109,5851,1778,6328,1887
2021,South Tyneside,E08000023,147774,91155,23072,27963,136,54,1094,638,218,98,43,5,1,91,173,57,3357,713,3530,770
2021,Sunderland,E08000024,274169,165136,43657,53693,223,83,1847,985,371,213,98,5,2,173,303,69,7719,1439,8022,1508
2021,Birmingham,E08000025,1144919,721108,119732,110753,2823,1199,6790,2161,947,1730,459,57,12,1424,9158,1488,146341,25527,155499,27015
2021,Coventry,E08000026,345324,183330,44507,41274,1067,448,3307,1391,537,674,164,27,5,509,3177,477,59709,8028,62886,8505
2021,Dudley,E08000027,323487,174713,73578,57084,763,315,1343,518,203,183,74,13,2,350,621,139,12502,2429,13123,2568
2021,Sandwell,E08000028,341832,195468,51967,40286,408,160,970,358,131,202,68,6,1,204,862,169,46170,5372,47032,5541
2021,Solihull,E08000029,216239,127926,39478,32866,719,396,1642,637,322,295,102,9,6,271,1777,298,8378,2759,10155,3057
2021,Walsall,E08000030,284123,160534,52560,43042,440,190,889,346,137,130,64,2,0,210,661,131,22334,3342,22995,3473
2021,Wolverhampton,E08000031,263729,147667,40748,32342,547,194,1089,361,170,224,59,3,2,270,732,122,36169,4119,36901,4241
2021,Bradford,E08000032,546411,355729,62567,65835,557,255,3384,1558,591,484,179,12,2,558,1187,265,46783,9849,47970,10114
2021,Calderdale,E08000033,206631,126507,32964,33076,392,144,1776,820,322,258,92,8,2,274,735,151,8621,2265,9356,2416
2021,Kirklees,E08000034,433215,273858,61261,63177,596,237,2967,1390,530,456,160,10,2,419,1175,302,24022,5620,25197,5922
2021,Leeds,E08000035,811952,479668,102164,124711,1630,733,8602,3592,1512,1556,516,50,5,1371,3710,965,75655,14114,79365,15079
2021,Wakefield,E08000036,353370,204416,57326,65616,507,196,2508,1283,514,273,103,8,0,327,542,94,18883,3282,19425,3376
2021,Gateshead,E08000037,196154,117776,29836,35006,179,80,2150,1184,400,272,105,3,0,186,424,120,9023,1560,9447,1680
2021,City of London,E09000001,8580,3706,547,615,34,15,138,51,34,28,1,3,3,18,103,40,2740,642,2843,682
2021,Barking and Dagenham,E09000002,218869,124319,22052,13685,106,47,540,214,63,120,24,4,0,115,921,108,51201,5890,52122,5998
2021,Barnet,E09000003,389344,230264,26190,25430,656,323,2543,961,505,510,145,14,4,404,4628,747,81106,17457,85734,18204
2021,Bexley,E09000004,246468,136567,47557,29086,408,146,1352,539,246,243,59,11,4,250,1636,256,23888,5572,25524,5828
2021,Brent,E09000005,339817,192958,11885,10330,373,199,1805,576,314,529,107,20,4,255,6033,512,100094,15628,106127,16140
2021,Bromley,E09000006,329988,190389,52238,38571,800,399,3135,1263,688,457,160,23,5,539,2918,607,30998,9933,33916,10540
2021,Camden,E09000007,210135,112673,12389,12872,606,331,2577,990,540,439,145,28,4,431,3159,577,52322,12629,55481,13206
2021,Croydon,E09000008,390720,239761,36468,29288,672,331,2619,1010,474,446,143,21,6,519,3067,538,64741,13235,67808,13773
2021,Ealing,E09000009,367114,206128,19270,16784,810,447,2732,990,515,606,158,28,5,430,5508,693,97641,17101,103149,17794
2021,Enfield,E09000010,329982,203574,26016,17669,392,178,1637,602,246,348,103,14,7,317,3500,560,64995,11461,68495,12021
2021,Greenwich,E09000011,289069,157830,28727,22669,637,350,2732,1109,456,495,177,31,4,460,2822,539,60609,12154,63431,12693
2021,Hackney,E09000012,259149,156533,12930,14257,719,398,3522,1530,577,660,157,34,10,554,3710,741,53989,12350,57699,13091
2021,Hammersmith and Fulham,E09000013,183157,95048,12259,12397,536,273,2500,923,544,430,150,16,5,432,3094,453,45950,10647,49044,11100
2021,Haringey,E09000014,264238,147884,12865,14023,676,349,2966,1182,581,516,173,34,12,468,3575,696,67844,13360,71419,14056
2021,Harrow,E09000015,261205,157374,14528,11160,332,156,1137,378,249,244,57,5,2,202,3459,413,60608,12038,64067,12451
2021,Havering,E09000016,262052,143039,53664,31682,343,148,1215,494,219,211,67,14,3,207,1886,228,25232,4615,27118,4843
2021,Hillingdon,E09000017,305909,175601,33705,21969,518,230,1725,665,310,347,84,14,4,301,3417,433,58456,9855,61873,10288
2021,Hounslow,E09000018,288182,156903,21507,14987,431,234,1847,737,376,333,98,16,5,282,2585,409,77811,11468,80396,11877
2021,Islington,E09000019,216589,116684,15493,14720,694,369,3454,1417,657,647,178,32,6,517,4321,751,48452,11651,52773,12402
2021,Kensington and Chelsea,E09000020,143375,70420,8336,7220,273,170,1465,544,402,181,66,9,3,260,1681,291,44142,9377,45823,9668
2021,Kingston upon Thames,E09000021,168064,93898,17586,16136,539,309,1835,634,360,272,145,28,10,386,1593,373,28392,7403,29985,7776
2021,Lambeth,E09000022,317651,182911,17683,22233,1246,662,4985,1898,1023,839,288,53,11,873,4645,949,67869,14468,72514,15417
2021,Lewisham,E09000023,300553,177196,22231,21003,784,415,3474,1396,642,552,194,48,42,600,3317,847,57699,13587,61016,14434
2021,Merton,E09000024,215185,118220,18142,16054,582,366,2172,739,486,406,121,21,6,393,2802,511,45754,10582,48556,11093
2021,Newham,E09000025,351033,197995,14502,12010,382,198,1412,540,284,272,82,17,6,211,1548,231,109739,13016,111287,13247
2021,Redbridge,E09000026,310261,194730,19769,14864,296,163,1256,450,214,290,76,15,3,208,1945,279,66168,10791,68113,11070
2021,Richmond upon Thames,E09000027,195278,110773,19335,19900,890,578,3193,1139,740,468,183,37,3,623,3031,592,27700,9286,30731,9878
2021,Southwark,E09000028,307637,174100,20439,20144,924,524,4161,1589,831,692,278,40,18,713,3945,841,67840,14719,71785,15560
2021,Sutton,E09000029,209639,118340,31232,21799,446,195,1468,572,305,224,92,12,5,258,1847,331,26381,7600,28228,7931
2021,Tower Hamlets,E09000030,310301,179775,14755,14787,697,345,2928,1183,583,527,179,37,11,408,2582,496,79526,14410,82108,14906
2021,Waltham Forest,E09000031,278427,165025,21073,16990,553,251,2338,976,396,384,123,39,2,418,2679,556,58252,10710,60931,11266
2021,Wandsworth,E09000032,327506,178256,21979,29010,1401,823,5672,1947,1366,880,373,59,7,1040,5636,942,66697,17090,72333,18032
2021,Westminster,E09000033,204237,102517,10541,9807,412,243,1966,706,440,320,113,21,5,361,2185,401,63993,12172,66178,12573
2021,Cambridgeshire,E10000003,678850,350117,109170,100749,2168,1175,8986,3726,2041,933,525,118,23,1620,3294,1160,81291,20740,84585,21900
2021,Cumbria,E10000006,499846,292214,84396,93093,1081,513,9265,5249,2161,642,315,21,9,868,856,216,14453,3759,15309,3975
2021,Derbyshire,E10000007,794636,445096,166109,146275,1858,851,6227,2894,1304,673,293,57,8,998,1788,434,19978,6020,21766,6454
2021,Devon,E10000008,811641,456456,154712,137532,4609,1901,9240,3179,1475,778,410,1290,225,1883,2084,778,33115,11214,35199,11992
2021,East Sussex,E10000011,545846,312588,103419,84060,1559,671,5137,2205,1050,669,293,47,14,859,2245,628,27639,7900,29884,8528
2021,Essex,E10000012,1503521,821950,318708,244273,2984,1348,11047,4805,2216,1416,591,98,13,1908,6999,1309,76535,18368,83534,19677
2021,Gloucestershire,E10000013,645074,364419,106761,108844,7291,3252,7759,2819,1468,764,406,225,37,2040,2159,598,34184,9807,36343,10405
2021,Hampshire,E10000014,1400896,806175,240319,232437,6126,3069,16589,6744,3926,1589,943,292,52,3043,4251,1225,70251,20454,74502,21679
2021,Hertfordshire,E10000015,1198798,682498,193435,158492,3166,1719,11780,4759,2497,1517,670,111,23,2203,10496,2040,106765,28407,117261,30447
2021,Kent,E10000016,1576072,886513,295104,240841,3666,1562,12781,5273,2468,1673,744,179,36,2408,6359,1596,102572,25078,108931,26674
2021,Lancashire,E10000017,1235354,720123,201876,216041,3086,1284,14608,6747,2960,2246,790,63,14,1788,3586,752,61984,12014,65570,12766
2021,Leicestershire,E10000018,712366,399957,143278,116488,2334,985,6687,2973,1335,707,339,82,9,1242,2046,506,31245,8840,33291,9346
2021,Lincolnshire,E10000019,768361,401645,155617,139166,2145,998,8330,4003,1826,841,461,82,8,1109,1675,388,50900,7497,52575,7885
2021,Norfolk,E10000020,916122,486675,184640,162505,2113,944,7977,3697,1616,802,403,98,17,1344,2169,590,57371,11138,59540,11728
2021,North Yorkshire,E10000023,615494,360632,104314,109995,1535,762,8875,4528,2162,737,423,46,9,970,1370,426,21774,5811,23144,6237
2021,Nottinghamshire,E10000024,824823,460151,164738,138898,2185,931,7472,3595,1499,822,354,66,10,1126,2132,557,38751,9008,40883,9565
2021,Oxfordshire,E10000025,725294,395086,103958,102750,4051,2085,10327,3821,2265,1015,572,171,34,2449,3906,1305,80223,21603,84129,22908
2021,Somerset,E10000027,571551,311650,107287,103407,3661,1520,5809,2193,1098,598,338,275,52,1255,1500,453,29556,6708,31056,7161
2021,Staffordshire,E10000028,876104,482946,185739,155217,3205,1377,6765,2935,1346,817,358,57,12,1240,2031,439,31337,7048,33368,7487
2021,Suffolk,E10000029,760685,398802,153321,135495,1807,736,6882,3075,1494,724,330,67,16,1176,2143,527,51884,9088,54027,9615
2021,Surrey,E10000030,1203108,691531,182972,165355,4372,2466,14026,5243,3191,1665,876,166,30,2855,8141,1739,102152,30354,110293,32093
2021,Warwickshire,E10000031,596773,326675,108289,94084,2705,1266,6733,2962,1342,794,310,72,13,1240,2819,687,43375,10140,46194,10827
2021,West Sussex,E10000032,882674,502139,155287,134161,2531,1213,8621,3643,1835,941,412,125,39,1626,3814,892,59174,14842,62988,15734
2021,Worcestershire,E10000034,603676,336110,118234,101956,3895,1730,4983,1932,877,581,286,88,14,1205,1694,462,28170,6442,29864,6904
2021,Isle of Anglesey,W06000001,68878,12594,8794,1541,38301,3847,1916,319,72,84,16,8,1,1416,241,41,984,619,1225,660
2021,Gwynedd,W06000002,117394,17913,12902,2546,69560,5214,3023,412,55,171,11,26,3,2345,339,127,4213,1557,4552,1684
2021,Conwy,W06000003,114741,27890,20914,3486,48207,6629,3045,633,110,158,37,12,3,2092,591,72,2774,1133,3365,1205
2021,Denbighshire,W06000004,95817,20992,17324,2831,42851,5860,2509,487,93,144,30,11,1,1743,315,46,2274,815,2589,861
2021,Flintshire,W06000005,154962,39903,33292,6094,53791,9446,4275,788,150,237,46,13,1,3040,420,63,6446,1232,6866,1295
2021,Wrexham,W06000006,135115,25371,16004,2834,67775,10848,2966,521,102,153,24,8,0,2158,303,50,7633,1331,7936,1381
2021,Ceredigion,W06000008,71474,15495,10425,2089,33359,3380,1999,345,52,112,11,29,6,1444,258,89,3228,1152,3486,1241
2021,Pembrokeshire,W06000009,123359,25618,14001,2461,65068,9250,2633,644,108,134,32,22,3,1690,454,77,2803,994,3257,1071
2021,Carmarthenshire,W06000010,187903,27227,16440,2673,116686,13330,3783,705,93,172,39,39,4,2731,433,112,5557,1662,5990,1774
2021,Swansea,W06000011,238488,40666,13608,3080,137846,22004,3717,777,145,249,52,62,9,2423,751,176,13266,3374,14017,3550
2021,Neath Port Talbot,W06000012,142290,18006,7444,1330,97175,12664,1962,440,54,105,17,16,3,1327,295,63,2513,838,2808,901
2021,Bridgend,W06000013,145488,21751,7737,1428,94209,13700,2222,613,83,168,25,31,2,1300,292,62,3089,998,3381,1060
2021,Vale of Glamorgan,W06000014,131939,27805,8489,1996,73276,12625,2281,662,137,211,42,35,1,1193,427,100,3358,1582,3785,1682
2021,Cardiff,W06000015,362308,79152,23661,7181,169253,31099,6702,1362,232,605,118,165,19,4201,1609,432,34557,8662,36166,9094
2021,Rhondda Cynon Taff,W06000016,237650,27371,9348,1800,165928,23215,3006,649,90,165,20,66,17,1999,374,80,5097,1431,5471,1511
2021,Caerphilly,W06000018,175948,23476,6856,1156,121706,16689,2342,495,61,138,17,40,4,1587,235,45,2508,935,2743,980
2021,Blaenau Gwent,W06000019,66905,9119,2951,413,45484,6311,871,114,21,34,5,16,0,681,63,14,1393,286,1456,300
2021,Torfaen,W06000020,92275,14900,5093,976,58255,9351,1337,315,43,80,12,15,1,871,180,46,1591,546,1771,592
2021,Monmouthshire,W06000021,92958,25132,12890,2755,38913,7020,2254,593,111,125,34,37,3,1351,274,82,2462,1176,2736,1258
2021,Newport,W06000022,159593,34980,9673,1971,81213,14948,2700,558,101,176,24,33,1,1807,511,84,11037,2476,11548,2560
2021,Powys,W06000023,133171,32540,23491,4174,55916,7760,3504,655,121,168,31,38,3,2488,319,114,3965,1388,4284,1502
2021,Merthyr Tydfil,W06000024,58842,6428,1954,320,41205,5452,701,133,39,31,9,3,0,486,74,4,2310,394,2384,398
