date,geography,geography code,National identity: Total: All usual residents,National identity: British only identity,National identity: English only identity,National identity: English and British only identity,National identity: Welsh only identity,National identity: Welsh and British only identity,National identity: Any other combination of only UK identities,National identity: Scottish only identity,National identity: Scottish and British only identity,National identity: Northern Irish only identity,National identity: Northern Irish and British only identity,National identity: Cornish only identity,National identity: Cornish and British only identity,National identity: Any other combination of only UK identities ,National identity: Irish only identity,National identity: Irish and at least one UK identity,National identity: Other identity only,National identity: Other identity and at least one UK identity,National identity: Non-UK identity only,National identity: UK identity and non-UK identity
2021,England,E92000001,56490048,32103291,8615437,8057675,192668,86966,648235,232034,108719,75497,30180,88360,10584,102861,290790,60290,5338962,1095734,5629752,1156024
2021,England and Wales,K04000001,59597541,32677619,8898728,8112809,1908644,337607,707985,244253,110793,79117,30834,89084,10670,143234,299546,62271,5462018,1130314,5761564,1192585
2021,Wales,W92000004,3107493,574329,283291,55134,1715975,250641,59750,12219,2074,3620,654,724,86,40373,8756,1981,123056,34580,131812,36561
