date,geography,geography code,General Health: Very good health,General Health: Good health,General Health: Fair health,General Health: Bad health,General Health: Very bad health
2021,Hartlepool,E06000001,42.8,33.7,15.6,6.0,1.9
2021,Middlesbrough,E06000002,43.8,33.3,14.9,6.1,1.9
2021,Redcar and Cleveland,E06000003,44.1,34.0,14.9,5.4,1.7
2021,Stockton-on-Tees,E06000004,45.7,33.7,14.2,4.9,1.5
2021,Darlington,E06000005,45.5,34.8,14.0,4.5,1.2
2021,Halton,E06000006,45.2,32.5,14.4,6.0,1.9
2021,Warrington,E06000007,50.0,32.8,12.2,3.9,1.1
2021,Blackburn with Darwen,E06000008,43.6,33.5,15.2,5.9,1.9
2021,Blackpool,E06000009,40.9,33.7,16.6,6.7,2.1
2021,"Kingston upon Hull, City of",E06000010,40.3,35.5,16.5,5.9,1.8
2021,East Riding of Yorkshire,E06000011,48.4,34.5,12.5,3.5,1.1
2021,North East Lincolnshire,E06000012,43.1,35.4,15.2,4.9,1.4
2021,North Lincolnshire,E06000013,43.9,35.9,14.5,4.5,1.2
2021,York,E06000014,48.5,35.0,12.2,3.4,0.9
2021,Derby,E06000015,43.2,35.5,14.9,4.9,1.5
2021,Leicester,E06000016,42.8,34.7,15.6,5.2,1.6
2021,Rutland,E06000017,52.6,33.6,10.7,2.6,0.6
2021,Nottingham,E06000018,41.7,34.2,16.1,6.0,2.0
2021,"Herefordshire, County of",E06000019,48.7,34.3,12.3,3.6,1.0
2021,Telford and Wrekin,E06000020,44.2,34.7,14.6,5.0,1.5
2021,Stoke-on-Trent,E06000021,40.2,35.9,15.9,6.1,1.9
2021,Bath and North East Somerset,E06000022,51.4,33.1,11.3,3.2,0.9
2021,"Bristol, City of",E06000023,46.7,33.5,13.6,4.8,1.5
2021,North Somerset,E06000024,49.4,33.6,12.3,3.8,1.1
2021,South Gloucestershire,E06000025,48.9,34.6,12.1,3.3,0.9
2021,Plymouth,E06000026,44.8,34.1,14.4,5.1,1.5
2021,Torbay,E06000027,45.4,33.7,14.4,5.0,1.4
2021,Swindon,E06000030,46.2,35.7,13.2,3.8,1.0
2021,Peterborough,E06000031,42.3,37.0,14.8,4.7,1.3
2021,Luton,E06000032,43.1,36.0,14.8,4.7,1.5
2021,Southend-on-Sea,E06000033,46.2,34.8,13.4,4.3,1.3
2021,Thurrock,E06000034,46.4,34.7,13.6,4.1,1.2
2021,Medway,E06000035,45.2,35.4,13.9,4.4,1.2
2021,Bracknell Forest,E06000036,50.6,34.8,10.9,2.9,0.8
