date,geography,geography code,Ethnic group (detailed): Total: All usual residents,"Ethnic group (detailed): Asian, Asian British or Asian Welsh","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Afghan","Ethnic group (detailed): Asian, Asian British or Asian Welsh: African unspecified","Ethnic group (detailed): Asian, Asian British or Asian Welsh: African Asian","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Anglo Indian","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Arab","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Asian British","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Bangladeshi, British Bangladeshi","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Black and Asian","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Chinese","Ethnic group (detailed): Asian, Asian British or Asian Welsh: English/Welsh/Scottish/Northern Irish/British","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Filipino","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Indian or British Indian","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Indonesian","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Iranian","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Japanese","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Kashmiri","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Korean","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Kurdish","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Malaysian","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Mixed South Asian","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Myanmar or Burmese","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Nepali (includes Gurkha) ","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Other Asian, Asian unspecified","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Other East Asian/ East Asian unspecified","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Other Middle East","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Other Mixed","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Pakistani or British Pakistani","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Punjabi","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Sikh","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Sinhalese","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Sri Lankan","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Taiwanese","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Tajikistani/Kazakhstani/Kyrgystani/Turkmenistani/Uzbekistani","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Tamil","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Thai","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Turkish","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Vietnamese","Ethnic group (detailed): Asian, Asian British or Asian Welsh: Any other ethnic group","Ethnic group (detailed): Black, Black British, Black Welsh of African background","Ethnic group (detailed): Black, Black British, Black Welsh of African background: African unspecified","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Angolan ","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Arab","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Black British","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Cameroonian","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Cote D'Ivoire","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Democratic Republic of the Congo","Ethnic group (detailed): Black, Black British, Black Welsh of African background: English/Welsh/Scottish/Northern Irish/British","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Eritrean","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Ethiopian","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Gambian","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Ghanaian","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Kenyan","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Malawian","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Mixed Black","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Moroccan","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Nigerian","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Other Black, Black unspecified","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Other Mixed","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Other North African","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Portuguese","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Sierra Leone","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Somali","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Somalilander","Ethnic group (detailed): Black, Black British, Black Welsh of African background: South African","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Sudanese","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Tanzanian","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Ugandan","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Zambian","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Zimbabwean","Ethnic group (detailed): Black, Black British, Black Welsh of African background: Any other ethnic group ","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: African unspecified","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Black and European","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Black British","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Black/African American","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Caribbean","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: English/Welsh/Scottish/Northern Irish/British","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Ghanaian","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Mixed Black","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Nigerian","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Other Black, Black unspecified","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Other Mixed","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Polynesian/Micronesian/Melanesian","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Somali","Ethnic group (detailed): Black, Black British, Black Welsh or Caribbean background: Any other ethnic group",Ethnic group (detailed): Mixed or Multiple ethnic groups,Ethnic group (detailed): Mixed or Multiple ethnic groups: African unspecified,Ethnic group (detailed): Mixed or Multiple ethnic groups: African Asian,Ethnic group (detailed): Mixed or Multiple ethnic groups: African/Arab,Ethnic group (detailed): Mixed or Multiple ethnic groups: Anglo Indian,Ethnic group (detailed): Mixed or Multiple ethnic groups: Arab,Ethnic group (detailed): Mixed or Multiple ethnic groups: Asian (unspecified) and European,Ethnic group (detailed): Mixed or Multiple ethnic groups: Black and Asian,Ethnic group (detailed): Mixed or Multiple ethnic groups: Black and European,Ethnic group (detailed): Mixed or Multiple ethnic groups: Black and White (unspecified),Ethnic group (detailed): Mixed or Multiple ethnic groups: Black British,Ethnic group (detailed): Mixed or Multiple ethnic groups: Brazilian,Ethnic group (detailed): Mixed or Multiple ethnic groups: Caribbean,Ethnic group (detailed): Mixed or Multiple ethnic groups: Caribbean Asian,Ethnic group (detailed): Mixed or Multiple ethnic groups: Chinese,Ethnic group (detailed): Mixed or Multiple ethnic groups: Chinese and other Asian,Ethnic group (detailed): Mixed or Multiple ethnic groups: Chinese and White,Ethnic group (detailed): Mixed or Multiple ethnic groups: English,Ethnic group (detailed): Mixed or Multiple ethnic groups: English/Welsh/Scottish/Northern Irish/British,Ethnic group (detailed): Mixed or Multiple ethnic groups: European and Black African,Ethnic group (detailed): Mixed or Multiple ethnic groups: European and Black Caribbean,Ethnic group (detailed): Mixed or Multiple ethnic groups: European and North African or Middle Eastern,"Ethnic group (detailed): Mixed or Multiple ethnic groups: European Mixed, European unspecified, other European",Ethnic group (detailed): Mixed or Multiple ethnic groups: Greek Cypriot,Ethnic group (detailed): Mixed or Multiple ethnic groups: Hispanic or Latin American,Ethnic group (detailed): Mixed or Multiple ethnic groups: Indian or British Indian,Ethnic group (detailed): Mixed or Multiple ethnic groups: Iranian,Ethnic group (detailed): Mixed or Multiple ethnic groups: Italian,Ethnic group (detailed): Mixed or Multiple ethnic groups: Jewish,Ethnic group (detailed): Mixed or Multiple ethnic groups: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian,Ethnic group (detailed): Mixed or Multiple ethnic groups: Mexican,Ethnic group (detailed): Mixed or Multiple ethnic groups: Mixed Black,Ethnic group (detailed): Mixed or Multiple ethnic groups: Mixed Irish,Ethnic group (detailed): Mixed or Multiple ethnic groups: Mixed South Asian,Ethnic group (detailed): Mixed or Multiple ethnic groups: Mixed White,Ethnic group (detailed): Mixed or Multiple ethnic groups: Moroccan,"Ethnic group (detailed): Mixed or Multiple ethnic groups: Other Asian, Asian unspecified",Ethnic group (detailed): Mixed or Multiple ethnic groups: Other Middle East,Ethnic group (detailed): Mixed or Multiple ethnic groups: Other Mixed,"Ethnic group (detailed): Mixed or Multiple ethnic groups: Other White, White unspecified",Ethnic group (detailed): Mixed or Multiple ethnic groups: Pakistani or British Pakistani,Ethnic group (detailed): Mixed or Multiple ethnic groups: Polynesian/Micronesian/Melanesian,Ethnic group (detailed): Mixed or Multiple ethnic groups: Portuguese,Ethnic group (detailed): Mixed or Multiple ethnic groups: South African,Ethnic group (detailed): Mixed or Multiple ethnic groups: South American,Ethnic group (detailed): Mixed or Multiple ethnic groups: South Asian and European,Ethnic group (detailed): Mixed or Multiple ethnic groups: Spanish,Ethnic group (detailed): Mixed or Multiple ethnic groups: Turkish,Ethnic group (detailed): Mixed or Multiple ethnic groups: Turkish Cypriot,Ethnic group (detailed): Mixed or Multiple ethnic groups: White African,Ethnic group (detailed): Mixed or Multiple ethnic groups: White and Arab,Ethnic group (detailed): Mixed or Multiple ethnic groups: White and Asian (unspecified),Ethnic group (detailed): Mixed or Multiple ethnic groups: White and Black African,Ethnic group (detailed): Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group (detailed): Mixed or Multiple ethnic groups: White and East Asian,Ethnic group (detailed): Mixed or Multiple ethnic groups: White and North African or Middle Eastern,Ethnic group (detailed): Mixed or Multiple ethnic groups: White and South Asian,Ethnic group (detailed): Mixed or Multiple ethnic groups: White Caribbean,Ethnic group (detailed): Mixed or Multiple ethnic groups: Any other ethnic group ,Ethnic group (detailed): White,Ethnic group (detailed): White: African unspecified,Ethnic group (detailed): White: Albanian,Ethnic group (detailed): White: Algerian,Ethnic group (detailed): White: Arab,Ethnic group (detailed): White: Argentinian,Ethnic group (detailed): White: Armenian,Ethnic group (detailed): White: Australian/New Zealander,Ethnic group (detailed): White: Austrian,Ethnic group (detailed): White: Belarusian,Ethnic group (detailed): White: Belgian,Ethnic group (detailed): White: Bosnian,Ethnic group (detailed): White: Brazilian,Ethnic group (detailed): White: Bulgarian,Ethnic group (detailed): White: Colombian,Ethnic group (detailed): White: Cornish ,Ethnic group (detailed): White: Croatian,Ethnic group (detailed): White: Cypriot (part not stated),Ethnic group (detailed): White: Czech,Ethnic group (detailed): White: Danish,Ethnic group (detailed): White: Dutch,"Ethnic group (detailed): White: English, Welsh, Scottish, Northern Irish or British",Ethnic group (detailed): White: Estonian,Ethnic group (detailed): White: European Mixed,Ethnic group (detailed): White: Finnish,Ethnic group (detailed): White: French,Ethnic group (detailed): White: Georgian,Ethnic group (detailed): White: German,Ethnic group (detailed): White: Greek,Ethnic group (detailed): White: Greek Cypriot,Ethnic group (detailed): White: Gypsy or Irish Traveller,Ethnic group (detailed): White: Hispanic or Latin American,Ethnic group (detailed): White: Hungarian,Ethnic group (detailed): White: Iranian,Ethnic group (detailed): White: Irish,Ethnic group (detailed): White: Israeli,Ethnic group (detailed): White: Italian,Ethnic group (detailed): White: Jewish,Ethnic group (detailed): White: Kosovan,Ethnic group (detailed): White: Kurdish,Ethnic group (detailed): White: Latvian,Ethnic group (detailed): White: Lithuanian,Ethnic group (detailed): White: Maltese,Ethnic group (detailed): White: Mixed Irish,Ethnic group (detailed): White: Mixed White,Ethnic group (detailed): White: Moldovan,Ethnic group (detailed): White: North American,Ethnic group (detailed): White: North Macedonian,Ethnic group (detailed): White: Norwegian,Ethnic group (detailed): White: Other Eastern European,Ethnic group (detailed): White: Other Middle East,Ethnic group (detailed): White: Other Mixed,Ethnic group (detailed): White: Other North African,Ethnic group (detailed): White: Other Traveller,"Ethnic group (detailed): White: Other White, White unspecified",Ethnic group (detailed): White: Polish,Ethnic group (detailed): White: Portuguese,Ethnic group (detailed): White: Roma,Ethnic group (detailed): White: Romanian,Ethnic group (detailed): White: Russian,Ethnic group (detailed): White: Serbian,Ethnic group (detailed): White: Slovakian,Ethnic group (detailed): White: Slovenian,Ethnic group (detailed): White: South African,Ethnic group (detailed): White: South American,Ethnic group (detailed): White: Spanish,Ethnic group (detailed): White: Swedish,Ethnic group (detailed): White: Swiss,Ethnic group (detailed): White: Turkish,Ethnic group (detailed): White: Turkish Cypriot,Ethnic group (detailed): White: Ukrainian,Ethnic group (detailed): White: White African,Ethnic group (detailed): White: White and North African or Middle Eastern,Ethnic group (detailed): White: White Caribbean,Ethnic group (detailed): White: Zimbabwean,Ethnic group (detailed): White: Any other ethnic group ,Ethnic group (detailed): Other ethnic group,Ethnic group (detailed): Other ethnic group: Afghan,Ethnic group (detailed): Other ethnic group: African unspecified,Ethnic group (detailed): Other ethnic group: African Asian,Ethnic group (detailed): Other ethnic group: Albanian,Ethnic group (detailed): Other ethnic group: Algerian,Ethnic group (detailed): Other ethnic group: Arab,Ethnic group (detailed): Other ethnic group: Armenian,Ethnic group (detailed): Other ethnic group: Asian British,"Ethnic group (detailed): Other ethnic group: Bangladeshi, British Bangladeshi",Ethnic group (detailed): Other ethnic group: Black and Asian,Ethnic group (detailed): Other ethnic group: Brazilian,Ethnic group (detailed): Other ethnic group: Bulgarian,Ethnic group (detailed): Other ethnic group: Caribbean,Ethnic group (detailed): Other ethnic group: Caribbean Asian,Ethnic group (detailed): Other ethnic group: Chinese,Ethnic group (detailed): Other ethnic group: Colombian,Ethnic group (detailed): Other ethnic group: Cornish,Ethnic group (detailed): Other ethnic group: Cypriot (part not stated),Ethnic group (detailed): Other ethnic group: Czech,Ethnic group (detailed): Other ethnic group: East Asian/ East Asian unspecified,Ethnic group (detailed): Other ethnic group: English,Ethnic group (detailed): Other ethnic group: English/Welsh/Scottish/Northern Irish/British,"Ethnic group (detailed): Other ethnic group: European Mixed, European unspecified, other European",Ethnic group (detailed): Other ethnic group: Filipino,Ethnic group (detailed): Other ethnic group: Greek,Ethnic group (detailed): Other ethnic group: Greek Cypriot,Ethnic group (detailed): Other ethnic group: Gypsy/Romany,Ethnic group (detailed): Other ethnic group: Hispanic or Latin American,Ethnic group (detailed): Other ethnic group: Indian or British Indian,Ethnic group (detailed): Other ethnic group: Iranian,Ethnic group (detailed): Other ethnic group: Italian,Ethnic group (detailed): Other ethnic group: Japanese,Ethnic group (detailed): Other ethnic group: Jewish,Ethnic group (detailed): Other ethnic group: Kashmiri,Ethnic group (detailed): Other ethnic group: Kurdish,Ethnic group (detailed): Other ethnic group: Lithuanian,Ethnic group (detailed): Other ethnic group: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian,Ethnic group (detailed): Other ethnic group: Mexican,Ethnic group (detailed): Other ethnic group: Moroccan,Ethnic group (detailed): Other ethnic group: Muslim,Ethnic group (detailed): Other ethnic group: Nepali (includes Gurkha),Ethnic group (detailed): Other ethnic group: North African,"Ethnic group (detailed): Other ethnic group: Other Asian, Asian unspecified",Ethnic group (detailed): Other ethnic group: Other Eastern European,Ethnic group (detailed): Other ethnic group: Other Middle East,Ethnic group (detailed): Other ethnic group: Other Mixed,"Ethnic group (detailed): Other ethnic group: Other White, White unspecified",Ethnic group (detailed): Other ethnic group: Pakistani or British Pakistani,Ethnic group (detailed): Other ethnic group: Polish,Ethnic group (detailed): Other ethnic group: Polynesia/Micronesia/Melanesia,Ethnic group (detailed): Other ethnic group: Portuguese,Ethnic group (detailed): Other ethnic group: Punjabi,Ethnic group (detailed): Other ethnic group: Roma,Ethnic group (detailed): Other ethnic group: Romanian,Ethnic group (detailed): Other ethnic group: Sikh,Ethnic group (detailed): Other ethnic group: Slovakian,Ethnic group (detailed): Other ethnic group: Somali,Ethnic group (detailed): Other ethnic group: Somalilander,Ethnic group (detailed): Other ethnic group: South American,Ethnic group (detailed): Other ethnic group: Spanish,Ethnic group (detailed): Other ethnic group: Sri Lankan,Ethnic group (detailed): Other ethnic group: Tamil,Ethnic group (detailed): Other ethnic group: Thai,Ethnic group (detailed): Other ethnic group: Turkish,Ethnic group (detailed): Other ethnic group: Turkish Cypriot,Ethnic group (detailed): Other ethnic group: Vietnamese,Ethnic group (detailed): Other ethnic group: White African,Ethnic group (detailed): Other ethnic group: Any other ethnic group
2021,England,E92000001,56490070,5426394,94750,3269,5509,2032,5031,15253,629567,1962,431165,2330,155996,1843248,7145,38105,29027,39208,20776,11858,12407,17089,6385,7338,87076,22982,14295,13415,6968,1570285,8090,22644,2451,146892,4149,3612,45243,38279,7316,36643,16604,1444293,605355,5181,2873,49130,4095,2860,24537,3638,24400,14950,4088,112397,14810,1732,3232,1596,1733,268308,1836,2100,3592,2013,7732,149093,24052,7730,11041,1787,16482,2642,42777,26501,937434,24905,3135,194347,2860,618697,7609,2245,1991,12215,4203,36885,1984,1691,6273,18394,1669381,3817,4043,1891,2427,7356,2748,14184,2154,17680,2012,6443,7456,7443,2814,1819,7463,3744,11506,3387,2236,2955,25876,1937,27548,3422,5224,2066,2553,5667,2591,4928,4332,1974,6228,1842,2798,3529,105408,10296,1663,4716,2411,1589,5880,2925,1745,4897,1976,1961,15551,474190,241528,499310,3023,12542,3736,2989,52952,45783409,2687,40418,1768,3804,2111,3752,59809,5706,2478,7403,2615,24023,87282,1951,43306,6823,5851,24011,9266,22895,41497485,5009,631220,7723,77200,2108,64222,72176,29173,60073,31875,63984,7258,494251,2957,145873,33844,13110,5037,47346,95573,4768,19776,2912,3187,80831,3423,6564,164264,6369,20632,3344,4145,207160,592562,91512,99138,337170,43781,7804,35687,3619,56271,6535,79639,15855,6858,60084,9373,16076,19743,2003,3400,1740,21728,1229159,20469,14138,2438,4664,1742,320203,2003,2048,2301,1907,5724,6639,2763,3281,9268,2096,4878,2432,2510,4636,2256,4730,32521,13167,3774,14499,1925,74718,9541,53190,4704,2536,31064,18809,73510,2152,12899,1901,4258,2921,15234,13878,14596,6784,18759,14071,7762,5166,9601,5046,4841,8277,1734,21991,76022,5886,11166,1699,9642,3986,8040,22935,1673,54752,20056,3057,2086,79204
2021,England and Wales,K04000001,59597544,5515415,95518,3296,5553,2065,5288,15638,644881,1979,445619,2394,162138,1864318,7344,39135,29510,39268,21118,12290,12872,17285,6436,7514,88461,23362,14563,14053,7095,1587819,8153,22814,2514,149239,4222,3661,45863,39962,7619,37458,17098,1463775,613547,5222,2962,49486,4164,2880,24783,3666,24812,15104,4199,112866,15061,1768,3290,1608,1755,271390,1873,2136,3697,2074,7780,150649,25446,7922,11893,1820,16593,2719,43529,27081,945499,25332,3173,196379,2900,622391,7694,2252,2007,12290,4243,37502,2022,1730,6396,19188,1717979,3925,4071,1924,2473,7777,2805,14355,2185,18164,2050,6569,7579,7516,2871,1907,7642,3803,11880,3450,2266,3003,26572,1968,28064,3515,5364,2248,2595,5741,2655,4995,4432,1999,6389,1879,2849,3647,107957,11092,1691,4900,2508,1620,5989,2965,1793,5149,1985,2017,16359,488225,249596,513042,3111,12904,3886,3077,54986,48699255,2805,40879,1776,3931,2156,3807,61172,5825,2522,7576,2633,24221,89546,1976,43645,6995,5956,25023,9453,23721,44311393,5147,646118,7892,78502,2149,66174,73719,29472,63443,32335,65697,7356,507465,2981,148661,34105,13145,5091,48070,97217,4971,20278,2991,3207,82985,3446,6814,166179,6527,21092,3375,4325,211287,614344,93608,100981,342651,44662,7906,36936,3719,57648,6600,81150,16132,7005,61102,9398,16297,20273,2035,3469,1803,22309,1255621,20649,14489,2448,4722,1774,331844,2031,2083,2466,1929,5786,6761,2784,3309,9500,2102,4903,2472,2706,4719,2284,4844,33232,13469,3844,14611,1952,75674,9634,54156,4783,2573,31284,18836,75603,2164,12994,1946,4283,2969,15427,14100,14824,6858,19101,14511,7869,5229,9901,5186,4935,8319,1764,22306,76535,6011,11300,1840,9727,4037,8120,23118,1711,55968,20093,3087,2124,81008
2021,Wales,W92000004,3107496,89031,768,27,44,34,257,385,15314,17,14454,64,6142,21070,199,1030,483,63,342,432,466,196,51,177,1385,380,266,638,129,17534,63,170,63,2350,73,50,620,1683,303,815,494,19485,8192,41,89,356,69,20,244,28,412,154,110,469,252,36,59,12,22,3082,37,36,104,64,49,1556,1394,191,852,33,111,77,754,580,8069,427,39,2033,40,3694,85,7,17,75,40,618,38,39,123,794,48602,108,28,33,46,421,58,171,31,481,37,126,123,73,57,91,179,59,374,63,30,48,696,32,516,93,141,181,42,74,64,67,100,25,161,37,51,120,2549,796,28,184,98,31,110,40,46,252,9,56,808,14035,8068,13732,88,362,151,88,2034,2915843,118,461,8,127,45,55,1363,119,45,173,16,198,2264,25,339,172,102,1012,187,826,2813908,138,14898,169,1302,42,1952,1543,299,3370,460,1713,98,13214,24,2788,259,34,52,724,1644,203,501,79,20,2154,23,250,1915,158,460,31,180,4127,21782,2096,1843,5480,881,105,1249,100,1377,65,1513,277,150,1018,25,221,530,32,68,63,581,26466,181,351,10,58,30,11641,28,35,165,22,62,122,24,28,232,7,25,40,196,81,29,114,711,305,70,112,27,956,93,966,79,37,220,24,2095,12,95,45,25,48,193,222,228,74,341,440,107,63,303,140,94,41,32,315,513,125,134,142,84,51,80,183,38,1216,36,28,38,1804
