date,geography,geography code,Gender identity: Total: All usual residents aged 16 years and over,Gender identity: Gender identity the same as sex registered at birth,Gender identity: Gender identity different from sex registered at birth but no specific identity given,Gender identity: Trans woman,Gender identity: Trans man,Gender identity: All other gender identities,Gender identity: Not answered
2021,England,E92000001,46006957,43002331,113760,45684,46513,45886,2752783
2021,England and Wales,K04000001,48566372,45389635,117775,47572,48435,48330,2914625
2021,Wales,W92000004,2559416,2387304,4015,1888,1922,2445,161842
