"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
"2021","Wakefield","E08000036",153075,0,46419,54854,25346,18419,5567,1633,540,297
"2021","Derby","E06000015",105652,0,33054,33738,16423,13325,5234,1998,812,1068
"2021","Leicester","E06000016",127385,0,35173,32527,20944,19347,10455,4758,2118,2063
"2021","Rutland","E06000017",16694,0,4786,6814,2344,1994,583,126,36,11
"2021","Nottingham","E06000018",124745,0,41971,37590,18696,14280,6776,3115,1284,1033
"2021","North Northamptonshire","E06000061",148919,0,40715,52937,25312,20317,6749,2096,530,263
"2021","West Northamptonshire","E06000062",172641,0,46474,60072,29420,24645,8312,2506,767,445
"2021","Amber Valley","E07000032",56278,0,17166,21621,8525,6564,1761,441,136,64
"2021","Bolsover","E07000033",35262,0,10539,13197,5779,4050,1228,329,99,41
"2021","Chesterfield","E07000034",48059,0,17066,17159,6878,4939,1472,387,100,58
"2021","Derbyshire Dales","E07000035",32283,0,9890,13182,4401,3511,986,233,57,23
"2021","Erewash","E07000036",50334,0,15551,18742,8049,5803,1606,443,99,41
"2021","High Peak","E07000037",40772,0,12944,15089,6159,4811,1332,334,74,29
"2021","North East Derbyshire","E07000038",45987,0,14305,17761,6755,5291,1402,350,80,43
"2021","South Derbyshire","E07000039",45240,0,12249,17057,7552,5969,1764,462,137,50
"2021","Blaby","E07000129",42579,0,11095,15392,7214,6352,1858,469,137,62
"2021","Charnwood","E07000130",73785,0,20860,26012,12097,10251,3080,1003,323,159
"2021","Harborough","E07000131",40413,0,10514,15394,6442,5725,1680,425,143,90
"2021","Hinckley and Bosworth","E07000132",49447,0,13972,19177,7837,6161,1695,424,123,58
"2021","Melton","E07000133",22599,0,6363,9021,3395,2710,846,180,55,29
