"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
"2021","Solihull","E08000029",89484,0,25852,29628,14787,13210,4263,1182,369,193
"2021","Walsall","E08000030",112226,0,32129,34801,18679,15479,6831,2730,958,619
"2021","Wolverhampton","E08000031",105141,0,32468,30542,17539,14599,6342,2342,836,473
"2021","Worcestershire","E10000034",259934,0,76079,97189,40915,32304,9639,2657,778,373
"2021","Bedford","E06000055",74950,0,21448,24647,12411,10569,3831,1325,439,280
"2021","Central Bedfordshire","E06000056",120753,0,31171,43254,21077,18141,5197,1365,376,172
"2021","Luton","E06000032",78940,0,21068,20469,13153,11529,6476,3335,1596,1314
"2021","Peterborough","E06000031",84532,0,23516,26700,14515,11619,4858,2019,769,536
"2021","Southend-on-Sea","E06000033",78341,0,26102,25371,12385,9857,3242,945,284,155
"2021","Thurrock","E06000034",66376,0,16180,19262,12854,11472,4529,1441,411,227
"2021","Cambridgeshire","E10000003",277634,0,78876,101007,44288,37229,11189,3164,936,945
"2021","Essex","E10000012",626472,0,177924,218402,102291,88815,27939,7809,2231,1061
"2021","Hertfordshire","E10000015",482892,0,134069,154744,83533,77205,23898,6604,1764,1075
"2021","Norfolk","E10000020",404339,0,125512,156242,58000,44486,14038,4247,1213,601
"2021","Suffolk","E10000029",333542,0,103942,125135,48082,38932,12496,3524,1004,427
"2021","Camden","E09000007",92757,0,35929,28682,12979,9162,3747,1384,516,358
"2021","City of London","E09000001",4914,0,2506,1767,371,190,52,11,7,10
"2021","Hackney","E09000012",106081,0,34928,32643,17123,11627,5216,2220,1043,1281
"2021","Hammersmith and Fulham","E09000013",81244,0,29324,25940,12395,8457,3447,1074,375,232
"2021","Haringey","E09000014",105092,0,32293,31075,18054,13972,5509,2059,1040,1090
"2021","Islington","E09000019",96496,0,34795,32524,14660,9171,3245,1146,478,477
