date,geography,geography code,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Provides 19 or less hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid carea week
2021,Bromley,E09000006,91.7,4.6,1.5,2.2
2021,Camden,E09000007,92.1,4.2,1.7,2.1
2021,Croydon,E09000008,91.8,4.1,1.8,2.3
2021,Ealing,E09000009,92.5,3.6,1.8,2.1
2021,Enfield,E09000010,91.5,3.9,2.0,2.6
2021,Greenwich,E09000011,92.1,3.5,1.8,2.6
2021,Hackney,E09000012,92.4,3.4,1.9,2.3
2021,Hammersmith and Fulham,E09000013,93.2,3.4,1.5,1.9
2021,Haringey,E09000014,92.8,3.5,1.7,2.1
2021,Harrow,E09000015,91.4,4.4,1.9,2.3
2021,Havering,E09000016,91.3,4.3,1.7,2.7
2021,Hillingdon,E09000017,91.6,4.1,1.8,2.5
2021,Hounslow,E09000018,92.3,3.5,1.9,2.3
2021,Islington,E09000019,91.9,3.9,1.8,2.4
2021,Kensington and Chelsea,E09000020,93.2,3.6,1.5,1.8
2021,Kingston upon Thames,E09000021,92.3,4.2,1.5,2.0
2021,Lambeth,E09000022,93.0,3.6,1.6,1.9
2021,Lewisham,E09000023,92.4,3.7,1.8,2.2
2021,Merton,E09000024,92.6,3.8,1.5,2.1
2021,Newham,E09000025,92.6,2.8,2.1,2.6
2021,Redbridge,E09000026,91.9,3.9,1.9,2.4
2021,Richmond upon Thames,E09000027,92.8,4.4,1.1,1.7
2021,Southwark,E09000028,92.8,3.4,1.7,2.2
2021,Sutton,E09000029,91.6,4.3,1.7,2.4
2021,Tower Hamlets,E09000030,92.4,3.1,2.0,2.5
2021,Waltham Forest,E09000031,92.3,3.6,1.8,2.3
2021,Wandsworth,E09000032,93.3,3.6,1.4,1.8
2021,Westminster,E09000033,92.9,3.5,1.7,2.0
2021,Cambridgeshire,E10000003,91.7,4.6,1.4,2.3
2021,Cumbria,E10000006,91.0,4.5,1.8,2.6
2021,Derbyshire,E10000007,90.1,5.0,1.9,2.9
2021,Devon,E10000008,90.7,4.9,1.7,2.7
2021,East Sussex,E10000011,90.4,4.9,1.9,2.8
2021,Essex,E10000012,91.2,4.5,1.7,2.6
2021,Gloucestershire,E10000013,91.7,4.6,1.5,2.2
2021,Hampshire,E10000014,91.7,4.5,1.4,2.3
2021,Hertfordshire,E10000015,91.6,4.7,1.5,2.2
2021,Kent,E10000016,90.8,4.5,1.8,2.9
2021,Lancashire,E10000017,90.4,4.7,2.0,2.9
2021,Leicestershire,E10000018,91.0,4.9,1.6,2.5
2021,Lincolnshire,E10000019,90.6,4.3,1.9,3.2
2021,Norfolk,E10000020,90.9,4.5,1.8,2.8
2021,North Yorkshire,E10000023,91.4,4.7,1.6,2.4
2021,Nottinghamshire,E10000024,89.7,5.2,2.0,3.0
2021,Oxfordshire,E10000025,92.1,4.5,1.4,2.1
2021,Somerset,E10000027,91.1,4.6,1.7,2.5
2021,Staffordshire,E10000028,90.4,5.0,1.8,2.8
2021,Suffolk,E10000029,91.2,4.6,1.7,2.6
2021,Surrey,E10000030,92.0,4.6,1.3,2.1
2021,Warwickshire,E10000031,91.3,4.6,1.6,2.5
2021,West Sussex,E10000032,91.5,4.7,1.5,2.3
2021,Worcestershire,E10000034,91.0,4.7,1.7,2.6
2021,Isle of Anglesey,W06000001,90.1,4.5,2.1,3.3
2021,Gwynedd,W06000002,91.1,4.1,1.7,3.1
2021,Conwy,W06000003,89.8,4.6,2.1,3.5
2021,Denbighshire,W06000004,89.0,4.6,2.5,3.9
2021,Flintshire,W06000005,89.9,4.9,2.1,3.2
2021,Wrexham,W06000006,90.0,4.5,2.2,3.4
2021,Ceredigion,W06000008,89.5,5.3,2.0,3.2
2021,Pembrokeshire,W06000009,89.3,4.9,2.3,3.5
2021,Carmarthenshire,W06000010,88.9,4.9,2.4,3.9
2021,Swansea,W06000011,88.9,5.0,2.3,3.8
2021,Neath Port Talbot,W06000012,87.7,4.8,2.9,4.5
2021,Bridgend,W06000013,89.0,4.6,2.5,4.0
2021,Vale of Glamorgan,W06000014,89.8,5.1,2.0,3.1
2021,Cardiff,W06000015,90.6,4.5,1.9,2.9
2021,Rhondda Cynon Taff,W06000016,88.8,4.5,2.5,4.2
2021,Caerphilly,W06000018,88.6,4.6,2.6,4.3
2021,Blaenau Gwent,W06000019,88.7,4.2,2.8,4.3
2021,Torfaen,W06000020,88.6,4.9,2.5,4.0
2021,Monmouthshire,W06000021,90.3,5.3,1.8,2.7
2021,Newport,W06000022,89.7,4.6,2.3,3.5
2021,Powys,W06000023,90.0,5.2,1.9,2.9
2021,Merthyr Tydfil,W06000024,88.7,4.2,2.8,4.3
