date,geography,geography code,Provision of unpaid care: Provides no unpaid care,Provision of unpaid care: Provides 19 or less hours unpaid care a week,Provision of unpaid care: Provides 20 to 49 hours unpaid care a week,Provision of unpaid care: Provides 50 or more hours unpaid carea week
2021,Eastleigh,E07000086,91.7,4.6,1.4,2.2
2021,Fareham,E07000087,91.6,4.8,1.4,2.2
2021,Gosport,E07000088,90.7,4.5,1.9,2.9
2021,Hart,E07000089,92.7,4.3,1.1,1.8
2021,Havant,E07000090,90.7,4.5,1.8,3.0
2021,New Forest,E07000091,91.0,5.0,1.5,2.5
2021,Rushmoor,E07000092,92.5,3.8,1.5,2.2
2021,Test Valley,E07000093,91.9,4.6,1.4,2.1
2021,Winchester,E07000094,92.2,4.7,1.1,2.0
2021,Broxbourne,E07000095,91.5,4.2,1.8,2.5
2021,Dacorum,E07000096,91.5,4.7,1.5,2.3
2021,Hertsmere,E07000098,91.4,4.8,1.7,2.2
2021,North Hertfordshire,E07000099,91.4,4.9,1.5,2.2
2021,Three Rivers,E07000102,91.3,5.1,1.5,2.0
2021,Watford,E07000103,91.9,4.2,1.7,2.2
2021,Ashford,E07000105,91.0,4.4,1.8,2.8
2021,Canterbury,E07000106,90.7,4.7,1.7,2.9
2021,Dartford,E07000107,91.5,4.2,1.6,2.8
2021,Dover,E07000108,89.7,4.8,2.2,3.3
2021,Gravesham,E07000109,90.7,4.3,1.9,3.1
2021,Maidstone,E07000110,91.3,4.5,1.6,2.6
2021,Sevenoaks,E07000111,91.3,4.8,1.5,2.4
2021,Folkestone and Hythe,E07000112,89.9,4.7,2.1,3.4
2021,Swale,E07000113,90.1,4.3,2.1,3.5
2021,Thanet,E07000114,89.7,4.4,2.2,3.7
2021,Tonbridge and Malling,E07000115,91.3,4.6,1.6,2.5
2021,Tunbridge Wells,E07000116,92.1,4.5,1.3,2.1
2021,Burnley,E07000117,90.2,4.2,2.4,3.3
2021,Chorley,E07000118,90.7,4.9,1.8,2.6
2021,Fylde,E07000119,90.5,5.0,1.8,2.7
2021,Hyndburn,E07000120,89.8,4.4,2.4,3.4
2021,Lancaster,E07000121,90.5,4.8,1.9,2.9
2021,Pendle,E07000122,90.6,4.2,2.3,3.0
2021,Preston,E07000123,90.6,4.3,2.1,2.9
2021,Ribble Valley,E07000124,91.5,5.0,1.4,2.0
2021,Rossendale,E07000125,90.6,4.4,2.0,2.9
2021,South Ribble,E07000126,90.4,5.1,1.8,2.6
2021,West Lancashire,E07000127,90.0,4.9,2.0,3.1
2021,Wyre,E07000128,89.4,5.1,2.2,3.3
2021,Blaby,E07000129,90.7,5.0,1.8,2.5
2021,Charnwood,E07000130,91.1,4.8,1.6,2.5
2021,Harborough,E07000131,91.7,4.9,1.4,2.0
2021,Hinckley and Bosworth,E07000132,90.8,5.0,1.6,2.6
2021,Melton,E07000133,91.4,4.7,1.5,2.4
2021,North West Leicestershire,E07000134,90.9,4.7,1.7,2.7
2021,Oadby and Wigston,E07000135,90.2,5.1,2.0,2.7
2021,Boston,E07000136,91.3,3.8,1.9,3.0
2021,East Lindsey,E07000137,88.8,4.5,2.6,4.2
2021,Lincoln,E07000138,91.1,3.9,1.9,3.2
2021,North Kesteven,E07000139,90.9,4.5,1.7,2.9
2021,South Holland,E07000140,90.9,4.2,1.9,3.1
2021,South Kesteven,E07000141,91.3,4.4,1.6,2.6
2021,West Lindsey,E07000142,90.4,4.7,1.9,3.0
2021,Breckland,E07000143,91.0,4.3,1.9,2.8
2021,Broadland,E07000144,91.2,5.0,1.5,2.3
2021,Great Yarmouth,E07000145,89.7,4.1,2.5,3.7
2021,King's Lynn and West Norfolk,E07000146,90.6,4.4,1.9,3.1
2021,North Norfolk,E07000147,90.4,4.8,1.9,2.9
2021,Norwich,E07000148,91.4,4.3,1.8,2.6
2021,South Norfolk,E07000149,91.3,4.9,1.5,2.3
2021,Craven,E07000163,91.4,5.0,1.6,2.0
2021,Hambleton,E07000164,91.2,5.0,1.5,2.3
2021,Harrogate,E07000165,92.0,4.7,1.3,2.0
2021,Richmondshire,E07000166,91.6,4.5,1.5,2.4
2021,Ryedale,E07000167,91.3,4.9,1.5,2.3
2021,Scarborough,E07000168,90.5,4.5,2.0,3.0
2021,Selby,E07000169,91.4,4.5,1.6,2.5
2021,Ashfield,E07000170,88.4,5.3,2.5,3.8
2021,Bassetlaw,E07000171,90.2,4.6,2.1,3.1
2021,Broxtowe,E07000172,90.2,5.3,1.8,2.7
2021,Gedling,E07000173,89.7,5.6,2.0,2.8
2021,Mansfield,E07000174,88.5,5.3,2.5,3.7
2021,Newark and Sherwood,E07000175,89.7,5.2,2.0,3.1
2021,Rushcliffe,E07000176,91.0,5.4,1.4,2.1
2021,Cherwell,E07000177,92.3,4.1,1.4,2.2
2021,Oxford,E07000178,92.0,4.3,1.5,2.2
2021,South Oxfordshire,E07000179,92.2,4.6,1.2,2.0
2021,Vale of White Horse,E07000180,91.9,4.7,1.4,2.0
2021,West Oxfordshire,E07000181,91.9,4.6,1.4,2.1
2021,Mendip,E07000187,91.4,4.7,1.5,2.4
2021,Sedgemoor,E07000188,90.8,4.6,1.8,2.8
2021,South Somerset,E07000189,91.2,4.6,1.7,2.6
2021,Cannock Chase,E07000192,89.7,4.8,2.2,3.3
2021,East Staffordshire,E07000193,91.6,4.3,1.6,2.5
2021,Lichfield,E07000194,90.8,5.0,1.6,2.6
2021,Newcastle-under-Lyme,E07000195,89.8,5.1,2.0,3.0
2021,South Staffordshire,E07000196,90.3,5.3,1.9,2.5
2021,Stafford,E07000197,90.6,5.1,1.6,2.6
2021,Staffordshire Moorlands,E07000198,90.0,5.5,1.8,2.7
2021,Tamworth,E07000199,90.4,4.3,2.0,3.3
2021,Babergh,E07000200,91.4,4.7,1.5,2.4
2021,Ipswich,E07000202,91.0,4.3,1.9,2.8
2021,Mid Suffolk,E07000203,91.4,4.9,1.4,2.3
2021,Elmbridge,E07000207,92.7,4.4,1.2,1.8
2021,Epsom and Ewell,E07000208,92.0,4.5,1.4,2.1
2021,Guildford,E07000209,92.0,4.7,1.2,2.1
2021,Mole Valley,E07000210,91.7,5.0,1.3,2.0
2021,Reigate and Banstead,E07000211,92.0,4.4,1.4,2.1
2021,Runnymede,E07000212,91.7,4.4,1.4,2.4
2021,Spelthorne,E07000213,91.4,4.6,1.6,2.4
