date,geography,geography code,Sexual orientation: Total: All usual residents aged 16 years and over,Sexual orientation: Straight or Heterosexual,Sexual orientation: Gay or Lesbian,Sexual orientation: Bisexual,Sexual orientation: All other sexual orientations,Sexual orientation: Not answered
2021,Camden,E09000007,177908,146868,6651,4511,1186,18692
2021,Croydon,E09000008,310399,272523,4696,3661,1175,28344
2021,Ealing,E09000009,295371,254948,4484,3846,1527,30566
2021,Enfield,E09000010,257182,226705,2342,2073,1204,24858
2021,Greenwich,E09000011,229747,199766,5685,3369,1253,19674
2021,Hackney,E09000012,209468,166695,8602,5919,1868,26384
2021,Hammersmith and Fulham,E09000013,154627,131392,4825,2714,681,15015
2021,Haringey,E09000014,216000,180100,5912,4503,1752,23733
2021,Harrow,E09000015,209621,182702,1361,1873,1005,22680
2021,Havering,E09000016,209730,191007,1993,1540,559,14631
2021,Hillingdon,E09000017,241878,215049,2169,2329,880,21451
2021,Hounslow,E09000018,228681,199334,3139,2746,1003,22459
2021,Islington,E09000019,183626,151195,8420,4973,1319,17719
2021,Kensington and Chelsea,E09000020,123089,104227,3363,1569,409,13521
2021,Kingston upon Thames,E09000021,135464,119304,2110,2022,510,11518
2021,Lambeth,E09000022,268944,222348,14291,6063,1844,24398
2021,Lewisham,E09000023,242411,203913,7268,5658,1949,23623
2021,Merton,E09000024,172772,151063,2998,2127,663,15921
2021,Newham,E09000025,276173,235493,4910,4168,2008,29594
2021,Redbridge,E09000026,242017,213103,2052,2272,1072,23518
2021,Richmond upon Thames,E09000027,155834,138752,2894,1848,495,11845
2021,Southwark,E09000028,256136,211847,11596,6586,2515,23592
2021,Sutton,E09000029,165657,149012,1935,1605,427,12678
2021,Tower Hamlets,E09000030,252885,210070,10021,6376,1730,24688
2021,Waltham Forest,E09000031,222182,191049,5032,3591,1423,21087
2021,Wandsworth,E09000032,273558,236553,8342,4762,1080,22821
2021,Westminster,E09000033,177467,147855,6155,2741,831,19885
2021,Cambridgeshire,E10000003,559648,494014,8468,9798,2540,44828
2021,Cumbria,E10000006,420036,382855,4895,3901,920,27465
2021,Derbyshire,E10000007,659820,601296,8767,6516,1310,41931
2021,Devon,E10000008,683469,612432,8820,8670,2100,51447
2021,East Sussex,E10000011,455639,406323,8258,5585,1356,34117
2021,Essex,E10000012,1224176,1117204,13421,10880,2750,79921
2021,Gloucestershire,E10000013,532285,481191,6814,6432,1660,36188
2021,Hampshire,E10000014,1151127,1050797,13825,12563,3011,70931
2021,Hertfordshire,E10000015,959081,869781,10644,9583,2684,66389
2021,Kent,E10000016,1276566,1156388,16912,14521,3598,85147
2021,Lancashire,E10000017,1012924,915742,13774,11850,2777,68781
2021,Leicestershire,E10000018,587433,535086,7028,5942,1322,38055
2021,Lincolnshire,E10000019,640209,573519,7829,8036,1841,48984
2021,Norfolk,E10000020,767095,685098,10736,10978,2622,57661
2021,North Yorkshire,E10000023,516179,470861,5773,4461,1056,34028
2021,Nottinghamshire,E10000024,679071,617517,9021,7239,1629,43665
2021,Oxfordshire,E10000025,595033,526306,8828,10008,2595,47296
2021,Somerset,E10000027,474940,427312,5483,5184,1191,35770
2021,Staffordshire,E10000028,726396,665414,8504,6779,1476,44223
2021,Suffolk,E10000029,630362,569259,7912,6857,1849,44485
2021,Surrey,E10000030,972512,881673,11355,10232,2535,66717
2021,Warwickshire,E10000031,490564,445900,6000,5463,1293,31908
2021,West Sussex,E10000032,727120,656904,11047,8166,1991,49012
2021,Worcestershire,E10000034,499359,454586,6076,4819,1096,32782
2021,Isle of Anglesey,W06000001,57149,51430,620,470,77,4552
2021,Gwynedd,W06000002,97968,85574,1303,1594,334,9163
2021,Conwy,W06000003,96364,85973,1330,872,203,7986
2021,Denbighshire,W06000004,78908,70523,1002,699,147,6537
2021,Flintshire,W06000005,127578,115441,1582,1042,226,9287
2021,Wrexham,W06000006,110274,98828,1445,1048,263,8690
2021,Ceredigion,W06000008,61391,51998,941,1617,430,6405
2021,Pembrokeshire,W06000009,102551,92094,1093,1050,220,8094
2021,Carmarthenshire,W06000010,155486,139511,1845,1500,323,12307
2021,Swansea,W06000011,197857,175739,3145,2972,587,15414
2021,Neath Port Talbot,W06000012,117185,105148,1844,1227,234,8732
2021,Bridgend,W06000013,119482,108771,1618,1130,234,7729
2021,Vale of Glamorgan,W06000014,107455,97072,1803,1213,278,7089
2021,Cardiff,W06000015,296313,257826,7175,7027,1606,22679
2021,Rhondda Cynon Taff,W06000016,193843,174581,2947,2158,415,13742
2021,Caerphilly,W06000018,143482,130425,1940,1373,260,9484
2021,Blaenau Gwent,W06000019,55144,49953,721,483,73,3914
2021,Torfaen,W06000020,75113,67893,1080,758,149,5233
2021,Monmouthshire,W06000021,78240,71025,872,763,157,5423
2021,Newport,W06000022,127423,115026,1908,1397,371,8721
2021,Powys,W06000023,112535,100163,1205,1060,275,9832
2021,Merthyr Tydfil,W06000024,47677,43637,682,361,87,2910
