date,geography,geography code,Religion: Total: All usual residents,Religion: No religion,Religion: Christian,Religion: Buddhist,Religion: Hindu,Religion: Jewish,Religion: Muslim,Religion: Sikh,Religion: Other religion,Religion: Not answered
2021,England,E92000001,56490048,20715664,26167899,262433,1020533,269283,3801186,520092,332410,3400548
2021,England and Wales,K04000001,59597540,22162062,27522672,272508,1032775,271327,3868133,524140,348334,3595589
2021,Wales,W92000004,3107494,1446398,1354773,10075,12242,2044,66947,4048,15926,195041
