date,geography,geography code,Religion: Total: All usual residents,Religion: No religion,Religion: Christian,Religion: Buddhist,Religion: Hindu,Religion: Jewish,Religion: Muslim,Religion: Sikh,Religion: Other religion,Religion: Not answered
2021,Wirral,E08000015,320201,119447,176159,1015,1406,256,3257,311,1258,17092
2021,Barnsley,E08000016,244571,102906,125502,435,416,62,1404,256,862,12728
2021,Doncaster,E08000017,308106,122645,156747,821,1294,116,6898,1391,1724,16470
2021,Rotherham,E08000018,265807,105821,130147,542,666,81,13465,461,932,13692
2021,Sheffield,E08000019,556521,241556,214136,2215,3759,649,57044,927,2635,33600
2021,Newcastle upon Tyne,E08000021,300126,122485,124009,1352,4212,573,26896,1449,1281,17869
2021,North Tyneside,E08000022,208966,96413,97333,587,823,128,2517,437,774,9954
2021,South Tyneside,E08000023,147776,58045,77783,264,259,36,3736,461,520,6672
2021,Sunderland,E08000024,274172,108261,145806,539,611,87,4846,915,835,12272
2021,Birmingham,E08000025,1144917,276327,389406,4340,21997,1687,341811,33126,6367,69856
2021,Coventry,E08000026,345326,102338,151577,1257,13724,259,35800,17297,1908,21166
2021,Dudley,E08000027,323488,116404,159461,798,2193,83,19978,5316,1463,17792
2021,Sandwell,E08000028,341835,89102,136354,943,9447,79,45763,39252,2430,18465
2021,Solihull,E08000029,216241,71065,109707,594,6037,283,11532,5029,821,11173
2021,Walsall,E08000030,284124,85819,126921,533,5096,74,32107,17148,1658,14768
2021,Wolverhampton,E08000031,263729,73317,115640,915,9882,94,14489,31769,3158,14465
2021,Bradford,E08000032,546411,154305,182566,959,4757,254,166846,4834,2074,29816
2021,Calderdale,E08000033,206631,86787,85677,630,1173,153,19650,387,1045,11129
2021,Kirklees,E08000034,433216,150599,170577,996,1723,187,80046,3476,1663,23949
2021,Leeds,E08000035,811953,326231,343311,2874,9217,6267,63054,10047,3637,47315
2021,Wakefield,E08000036,353371,145950,173070,797,1270,127,11279,501,1405,18972
2021,Gateshead,E08000037,196153,78572,99572,469,522,2905,4126,386,797,8804
2021,City of London,E09000001,8582,3763,2976,95,203,177,540,6,55,767
2021,Barking and Dagenham,E09000002,218867,41191,99342,821,6596,272,53389,4284,981,11991
2021,Barnet,E09000003,389344,78684,142321,4158,22105,56616,47688,1524,5192,31056
2021,Bexley,E09000004,246472,82816,123908,2048,7516,217,9721,5272,988,13986
2021,Brent,E09000005,339817,46153,131914,3117,52876,3723,72574,1530,4424,23506
2021,Bromley,E09000006,329991,122943,159452,2100,9644,966,10876,1068,1704,21238
2021,Camden,E09000007,210138,72776,65980,2410,3991,10079,33830,487,1842,18743
2021,Croydon,E09000008,390719,101119,190880,2371,23145,609,40717,1654,3189,27035
2021,Ealing,E09000009,367114,70233,138937,4003,28236,1041,68907,28491,2733,24533
2021,Enfield,E09000010,329984,65241,153015,1716,10231,3713,61477,1199,10351,23041
2021,Greenwich,E09000011,289066,94208,129112,5034,11647,603,24715,3229,1802,18716
2021,Hackney,E09000012,259145,94113,79499,2343,1998,17426,34578,1867,4879,22442
2021,Hammersmith and Fulham,E09000013,183157,56059,83673,1723,2209,1228,21290,450,1227,15298
2021,Haringey,E09000014,264238,83535,103944,2455,3529,9397,33295,892,6164,21027
2021,Harrow,E09000015,261203,27748,88602,2812,67392,7304,41503,2743,7695,15404
2021,Havering,E09000016,262052,80235,136765,1092,6454,1305,16135,4498,1056,14512
2021,Hillingdon,E09000017,305909,59214,119434,2621,33020,1392,44077,26339,2683,17129
2021,Hounslow,E09000018,288182,53502,110269,3932,27360,622,48028,24677,2323,17469
2021,Islington,E09000019,216592,88466,75129,1813,2195,2714,25840,603,2930,16902
2021,Kensington and Chelsea,E09000020,143375,35610,69335,1606,1584,2681,16865,319,1064,14311
2021,Kingston upon Thames,E09000021,168065,57641,71670,1726,8456,693,13366,1428,1119,11966
2021,Lambeth,E09000022,317656,119123,138714,2437,3179,1344,25871,527,2351,24110
2021,Lewisham,E09000023,300553,110379,131706,3270,6459,826,22264,720,2269,22660
2021,Merton,E09000024,215187,60224,101320,1899,12610,754,21673,614,1205,14888
2021,Newham,E09000025,351036,50795,123746,2160,21405,448,122146,5638,1765,22933
