Nature of Organisation,Beneficiary Group,Charity,Food Moved KG,Food Moved Meal Equivalents,CFMs Served,CFM Beneficiaries,Value of food,date - Year,long,lat,name,details.address.postcode,allocationpostcode,ONS Postcode Lookup.lat,ONS Postcode Lookup.long
Day centre / Drop in centre,Homeless people & rough sleepers,Batley Outreach and Drop In  (YSH),34.4,81.9064,1,115,199.92,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF17 5QL,53.712452,-1.635975
Day centre / Drop in centre,Homeless people & rough sleepers,Beacon House Hostel,110.4,262.8624,1,115,538.85,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD8 7NH,53.808706,-1.761639
Day centre / Drop in centre,Homeless people & rough sleepers,Beacon House Hostel,66.8,159.0508,1,115,208.42,2023,-1.413575,53.533241,Fruit,S73 8HA,BD8 7NH,53.808706,-1.761639
Day centre / Drop in centre,Homeless people & rough sleepers,Beacon House Hostel,69.55,165.59855,1,115,475.90,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD8 7NH,53.808706,-1.761639
Food service only,Homeless people & rough sleepers,Bradford Inn Churches,122.2,290.9582,1,115,607.93,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD4 7BQ,53.788026,-1.746248
Food service only,Homeless people & rough sleepers,Bradford Inn Churches,45.6,108.5736,1,115,142.27,2023,-1.413575,53.533241,Fruit,S73 8HA,BD4 7BQ,53.788026,-1.746248
Food service only,Homeless people & rough sleepers,Bradford Inn Churches,116.8,278.1008,1,115,799.20,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD4 7BQ,53.788026,-1.746248
Food service only,Homeless people & rough sleepers,Bradford Inn Churches,56.4,134.2884,1,115,383.40,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD4 7BQ,53.788026,-1.746248
Food service only,Homeless people & rough sleepers,Community Awareness Programme (CAP),59.7,142.1457,1,115,319.33,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF1 1DH,53.680692,-1.500067
Food service only,Homeless people & rough sleepers,Community Awareness Programme (CAP),11.4,27.1434,1,115,35.57,2023,-1.413575,53.533241,Fruit,S73 8HA,WF1 1DH,53.680692,-1.500067
Food service only,Homeless people & rough sleepers,Community Awareness Programme (CAP),103.5,246.4335,1,115,671.10,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF1 1DH,53.680692,-1.500067
Food service only,Homeless people & rough sleepers,Community Awareness Programme (CAP),5,11.905,1,115,15.60,2024,-1.413575,53.533241,Fruit,S73 8HA,WF1 1DH,53.680692,-1.500067
Food service only,Homeless people & rough sleepers,Community Awareness Programme (CAP),71.6,170.4796,1,115,465.53,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF1 1DH,53.680692,-1.500067
Food service only,Homeless people & rough sleepers,Community Awareness Programme (YSH),44,104.764,1,115,273.96,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF1 1DH,53.680692,-1.500067
Food service only,Homeless people & rough sleepers,Community Awareness Programme (YSH),118,280.958,1,115,842.52,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF1 1DH,53.680692,-1.500067
Residential setting,Homeless people & rough sleepers,Cyrenians (BFD),31.8,75.7158,1,115,99.22,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD8 7EP,53.806394,-1.765342
Residential setting,Homeless people & rough sleepers,Cyrenians (BFD),121.4,289.0534,1,115,378.77,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD8 7EP,53.806394,-1.765342
Residential setting,Homeless people & rough sleepers,Cyrenians (BFD),21,50.001,1,115,65.52,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD8 7EP,53.806394,-1.765342
Residential setting,Homeless people & rough sleepers,Cyrenians (BFD),138.4,329.5304,1,115,740.83,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD8 7EP,53.806394,-1.765342
Residential setting,Homeless people & rough sleepers,Cyrenians (BFD),11.6,27.6196,1,115,36.19,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD8 7EP,53.806394,-1.765342
Residential setting,Homeless people & rough sleepers,Cyrenians (BFD),149.3,355.4833,1,115,585.14,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD8 7EP,53.806394,-1.765342
Residential setting,Homeless people & rough sleepers,Emmaus Leeds (YSH),29,69.049,1,115,207.06,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS9 7DP,53.799539,-1.530877
Food service only,Homeless people & rough sleepers,Feedo Needo Bradford,22.4,53.3344,1,115,69.89,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD5 8EL,53.775183,-1.753878
Food service only,Homeless people & rough sleepers,Feedo Needo Bradford,187.6,446.6756,1,115,616.32,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD5 8EL,53.775183,-1.753878
Food service only,Homeless people & rough sleepers,Feedo Needo Bradford,47.4,112.8594,1,115,147.89,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD5 8EL,53.775183,-1.753878
Food service only,Homeless people & rough sleepers,Feedo Needo Bradford,136.2,324.2922,1,115,522.23,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD5 8EL,53.775183,-1.753878
Food service only,Homeless people & rough sleepers,Feedo Needo Bradford,11.6,27.6196,1,115,36.19,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD5 8EL,53.775183,-1.753878
Food service only,Homeless people & rough sleepers,Feedo Needo Bradford,125.6,299.0536,1,115,566.34,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD5 8EL,53.775183,-1.753878
Community centre,Homeless people & rough sleepers,Gateway Cafe YSH,75.3,179.2893,1,115,457.24,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD10 0JR,53.817119,-1.712623
Community centre,Homeless people & rough sleepers,Gateway Cafe YSH,106.98,254.71938,1,115,763.84,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD10 0JR,53.817119,-1.712623
Community centre,Homeless people & rough sleepers,Gateway Cafe YSH,37,88.097,1,115,199.92,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD10 0JR,53.817119,-1.712623
Food service only,Homeless people & rough sleepers,Happy Days UK (The Banqueting Table),33.2,79.0492,1,115,103.58,2022,-1.551651,53.790612,Fruit,LS11 5JJ,HX1 1YS,53.724603,-1.864019
Food service only,Homeless people & rough sleepers,Happy Days UK (The Banqueting Table),114.1,271.6721,1,115,382.92,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,HX1 1YS,53.724603,-1.864019
Food service only,Homeless people & rough sleepers,Happy Days UK (The Banqueting Table),12.4,29.5244,1,115,38.69,2023,-1.551651,53.790612,Fruit,LS11 5JJ,HX1 1YS,53.724603,-1.864019
Food service only,Homeless people & rough sleepers,Happy Days UK (The Banqueting Table),184.4,439.0564,1,115,717.75,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,HX1 1YS,53.724603,-1.864019
Food service only,Homeless people & rough sleepers,Happy Days UK (The Banqueting Table),280.5,667.8705,1,115,"2,002.77",2023,-1.413575,53.533241,Vegetable,S73 8HA,HX1 1YS,53.724603,-1.864019
Food service only,Homeless people & rough sleepers,Happy Days UK (The Banqueting Table),146.9,349.7689,1,115,613.90,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,HX1 1YS,53.724603,-1.864019
Food service only,Homeless people & rough sleepers,Happy Days UK (The Banqueting Table),74.4,177.1464,1,115,485.52,2024,-1.413575,53.533241,Vegetable,S73 8HA,HX1 1YS,53.724603,-1.864019
Food service only,Homeless people & rough sleepers,Harehills Lane Baptist Church (Courtyard Cafe),25.8,61.4298,1,115,80.50,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS8 4HE,53.819306,-1.519746
Food service only,Homeless people & rough sleepers,Harehills Lane Baptist Church (Courtyard Cafe),88.2,210.0042,1,115,275.18,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 4HE,53.819306,-1.519746
Food service only,Homeless people & rough sleepers,Harehills Lane Baptist Church (Courtyard Cafe),15.8,37.6198,1,115,49.30,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS8 4HE,53.819306,-1.519746
Food service only,Homeless people & rough sleepers,Harehills Lane Baptist Church (Courtyard Cafe),115.3,274.5293,1,115,568.00,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 4HE,53.819306,-1.519746
Food service only,Homeless people & rough sleepers,Harehills Lane Baptist Church (Courtyard Cafe),95.5,227.3855,1,115,362.18,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 4HE,53.819306,-1.519746
Food service only,Homeless people & rough sleepers,Huddersfield Mission Cafe,34.4,81.9064,1,115,107.33,2022,-1.413575,53.533241,Fruit,S73 8HA,HD1 1QA,53.648008,-1.780381
Food service only,Homeless people & rough sleepers,Huddersfield Mission Cafe,31.1,74.0491,1,115,97.03,2022,-1.413575,53.533241,Vegetable,S73 8HA,HD1 1QA,53.648008,-1.780381
Food service only,Homeless people & rough sleepers,Huddersfield Mission Cafe,57,135.717,1,115,177.84,2023,-1.413575,53.533241,Fruit,S73 8HA,HD1 1QA,53.648008,-1.780381
Food service only,Homeless people & rough sleepers,Huddersfield Mission Cafe,97.6,232.3856,1,115,607.62,2023,-1.413575,53.533241,Vegetable,S73 8HA,HD1 1QA,53.648008,-1.780381
Food service only,Homeless people & rough sleepers,Huddersfield Mission Cafe,21.6,51.4296,1,115,115.63,2024,-1.413575,53.533241,Vegetable,S73 8HA,HD1 1QA,53.648008,-1.780381
Food service only,Homeless people & rough sleepers,Huddersfield Mission Cafe (YSH),39.5,94.0495,1,115,241.83,2022,-1.413575,53.533241,Vegetable,S73 8HA,HD1 1QA,53.648008,-1.780381
Food service only,Homeless people & rough sleepers,Huddersfield Mission Cafe (YSH),65.98,157.09838,1,115,430.90,2023,-1.413575,53.533241,Vegetable,S73 8HA,HD1 1QA,53.648008,-1.780381
Food service only,Homeless people & rough sleepers,Huddersfield Mission Cafe (YSH),17.2,40.9532,1,115,279.89,2024,-1.413575,53.533241,Vegetable,S73 8HA,HD1 1QA,53.648008,-1.780381
Food service only,Homeless people & rough sleepers,Inn-churches,26,61.906,1,115,81.12,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD4 7BQ,53.788026,-1.746248
Local authority,Homeless people & rough sleepers,Leeds CC Emergency Distribution Hub (YSH),0,0,1,115,64.26,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS15 0BF,53.78583,-1.480306
Residential setting,Homeless people & rough sleepers,Leeds Emmaus,27.4,65.2394,1,115,85.49,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 7DP,53.799539,-1.530877
Residential setting,Homeless people & rough sleepers,Leeds Emmaus,114.9,273.5769,1,115,366.12,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 7DP,53.799539,-1.530877
Residential setting,Homeless people & rough sleepers,Leeds Emmaus,15,35.715,1,115,107.10,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS9 7DP,53.799539,-1.530877
Food service only,Homeless people & rough sleepers,Pontefract Community Kitchen,28.4,67.6204,1,115,88.61,2022,-1.551651,53.790612,Fruit,LS11 5JJ,WF8 1PE,53.692643,-1.309337
Food service only,Homeless people & rough sleepers,Pontefract Community Kitchen,117.5,279.7675,1,115,399.96,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,WF8 1PE,53.692643,-1.309337
Food service only,Homeless people & rough sleepers,Pontefract Community Kitchen,44,104.764,1,115,273.96,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF8 1PE,53.692643,-1.309337
Food service only,Homeless people & rough sleepers,Pontefract Community Kitchen,10,23.81,1,115,31.20,2023,-1.551651,53.790612,Fruit,LS11 5JJ,WF8 1PE,53.692643,-1.309337
Food service only,Homeless people & rough sleepers,Pontefract Community Kitchen,118.6,282.3866,1,115,565.89,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,WF8 1PE,53.692643,-1.309337
Food service only,Homeless people & rough sleepers,Pontefract Community Kitchen,120,285.72,1,115,856.80,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF8 1PE,53.692643,-1.309337
Food service only,Homeless people & rough sleepers,Pontefract Community Kitchen,59.1,140.7171,1,115,268.41,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,WF8 1PE,53.692643,-1.309337
Food service only,Homeless people & rough sleepers,Pontefract Community Kitchen,48.8,116.1928,1,115,302.74,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF8 1PE,53.692643,-1.309337
Residential setting,Homeless people & rough sleepers,Progress - Project 6,6,14.286,1,115,18.72,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD21 2LA,53.86713,-1.913242
Residential setting,Homeless people & rough sleepers,Progress - Project 6,152.8,363.8168,1,115,495.27,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD21 2LA,53.86713,-1.913242
Residential setting,Homeless people & rough sleepers,Progress - Project 6,12.4,29.5244,1,115,38.69,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD21 2LA,53.86713,-1.913242
Residential setting,Homeless people & rough sleepers,Progress - Project 6,91.8,218.5758,1,115,469.73,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD21 2LA,53.86713,-1.913242
Residential setting,Homeless people & rough sleepers,Progress - Project 6,69.5,165.4795,1,115,407.79,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD21 2LA,53.86713,-1.913242
Community centre,Homeless people & rough sleepers,Salvation Army Holmewood,78.1,185.9561,1,115,255.66,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD4 9BD,53.770894,-1.712802
Community centre,Homeless people & rough sleepers,Salvation Army Holmewood,34.2,81.4302,1,115,106.70,2023,-1.413575,53.533241,Fruit,S73 8HA,BD4 9BD,53.770894,-1.712802
Community centre,Homeless people & rough sleepers,Salvation Army Holmewood,73.3,174.5273,1,115,522.78,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD4 9BD,53.770894,-1.712802
Community centre,Homeless people & rough sleepers,Salvation Army Holmewood,59.2,140.9552,1,115,403.39,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD4 9BD,53.770894,-1.712802
Community centre,Homeless people & rough sleepers,Salvation Army Holmewood (YSH),36.3,86.4303,1,115,178.78,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD4 9BD,53.770894,-1.712802
Community centre,Homeless people & rough sleepers,Salvation Army Holmewood (YSH),163.96,390.38876,1,115,"1,063.57",2023,-1.413575,53.533241,Vegetable,S73 8HA,BD4 9BD,53.770894,-1.712802
Community centre,Homeless people & rough sleepers,Salvation Army Holmewood (YSH),53,126.193,1,115,378.42,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD4 9BD,53.770894,-1.712802
Community centre,Homeless people & rough sleepers,St Catherines Church & Centre,34.8,82.8588,1,115,108.58,2022,-1.413575,53.533241,Fruit,S73 8HA,WF1 5HL,53.670867,-1.48087
Community centre,Homeless people & rough sleepers,St Catherines Church & Centre,102.4,243.8144,1,115,552.63,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF1 5HL,53.670867,-1.48087
Community centre,Homeless people & rough sleepers,St Catherines Church & Centre,34.2,81.4302,1,115,106.70,2023,-1.413575,53.533241,Fruit,S73 8HA,WF1 5HL,53.670867,-1.48087
Community centre,Homeless people & rough sleepers,St Catherines Church & Centre,105.9,252.1479,1,115,698.67,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF1 5HL,53.670867,-1.48087
Community centre,Homeless people & rough sleepers,St Catherines Church & Centre,45.4,108.0974,1,115,285.56,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF1 5HL,53.670867,-1.48087
Residential setting,Homeless people & rough sleepers,St Georges Crypt Centre,15,35.715,1,115,47.89,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS1 3BR,53.801117,-1.553361
Residential setting,Homeless people & rough sleepers,St Georges Crypt Centre,23,54.763,1,115,85.68,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS1 3BR,53.801117,-1.553361
Residential setting,Homeless people & rough sleepers,St Georges Crypt Centre,132.4,315.2444,1,115,811.87,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS1 3BR,53.801117,-1.553361
Residential setting,Homeless people & rough sleepers,St Georges Crypt Centre (YSH),110.5,263.1005,1,115,788.97,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS1 3BR,53.801117,-1.553361
Residential setting,Homeless people & rough sleepers,St Georges Crypt Centre (YSH),36.4,86.6684,1,115,214.20,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS1 3BR,53.801117,-1.553361
Day centre / Drop in centre,Homeless people & rough sleepers,The Immanuel Project,12,28.572,1,115,41.46,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD1 2QT,53.7949,-1.757087
Day centre / Drop in centre,Homeless people & rough sleepers,The Immanuel Project,16,38.096,1,115,114.24,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD1 2QT,53.7949,-1.757087
Faith organisation,Homeless people & rough sleepers,Trinity Mission (YSH),60,142.86,1,115,348.00,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF10 1EL,53.724659,-1.354496
Faith organisation,Homeless people & rough sleepers,Trinity Mission (YSH),111.5,265.4815,1,115,796.11,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF10 1EL,53.724659,-1.354496
Faith organisation,Homeless people & rough sleepers,Trinity Mission (YSH),34.4,81.9064,1,115,199.92,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF10 1EL,53.724659,-1.354496
Food service only,Long term unemployed,Batley Care and Drop In (RC),30,71.43,1,115,93.60,2022,-1.413575,53.533241,Fruit,S73 8HA,WF17 5DS,53.714254,-1.632554
Food service only,Long term unemployed,Batley Care and Drop In (RC),149.3,355.4833,1,115,571.54,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF17 5DS,53.714254,-1.632554
Food service only,Long term unemployed,Batley Care and Drop In (RC),26.4,62.8584,1,115,82.37,2023,-1.413575,53.533241,Fruit,S73 8HA,WF17 5DS,53.714254,-1.632554
Food service only,Long term unemployed,Batley Care and Drop In (RC),84.55,201.31355,1,115,576.35,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF17 5DS,53.714254,-1.632554
Food service only,Long term unemployed,Batley Care and Drop In (RC),15,35.715,1,115,46.80,2024,-1.413575,53.533241,Fruit,S73 8HA,WF17 5DS,53.714254,-1.632554
Food service only,Long term unemployed,Batley Care and Drop In (RC),40,95.24,1,115,266.30,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF17 5DS,53.714254,-1.632554
Food service only,Long term unemployed,Fusion Foodbank,178.9,425.9609,1,115,589.18,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,WF12 8DJ,53.691936,-1.626797
Food service only,Long term unemployed,Fusion Foodbank,35.4,84.2874,1,115,110.45,2023,-1.551651,53.790612,Fruit,LS11 5JJ,WF12 8DJ,53.691936,-1.626797
Food service only,Long term unemployed,Fusion Foodbank,157.4,374.7694,1,115,778.73,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,WF12 8DJ,53.691936,-1.626797
Food service only,Long term unemployed,Fusion Foodbank,58.5,139.2885,1,115,417.69,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF12 8DJ,53.691936,-1.626797
Food service only,Long term unemployed,Fusion Foodbank,11.6,27.6196,1,115,36.19,2024,-1.551651,53.790612,Fruit,LS11 5JJ,WF12 8DJ,53.691936,-1.626797
Food service only,Long term unemployed,Fusion Foodbank,160.2,381.4362,1,115,759.52,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,WF12 8DJ,53.691936,-1.626797
Food service only,Long term unemployed,Fusion Foodbank,46.164,109.916484,1,115,329.61,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF12 8DJ,53.691936,-1.626797
Training centre,Long term unemployed,Safety First Community Training YSH,65.3,155.4793,1,115,426.04,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD1 1EE,53.793485,-1.751023
Training centre,Long term unemployed,Safety First Community Training YSH,78.98,188.05138,1,115,756.70,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD1 1EE,53.793485,-1.751023
Training centre,Long term unemployed,Safety First Community Training YSH,17,40.477,1,115,101.28,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD1 1EE,53.793485,-1.751023
Community centre,NEETs,Karmand Community Centre,25.4,60.4774,1,115,79.25,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 9EP,53.798092,-1.729685
Community centre,NEETs,Karmand Community Centre,140.3,334.0543,1,115,441.01,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 9EP,53.798092,-1.729685
Community centre,NEETs,Karmand Community Centre,26,61.906,1,115,81.12,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 9EP,53.798092,-1.729685
Community centre,NEETs,Karmand Community Centre,136,323.816,1,115,708.13,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 9EP,53.798092,-1.729685
Community centre,NEETs,Karmand Community Centre,17.4,41.4294,1,115,54.29,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 9EP,53.798092,-1.729685
Community centre,NEETs,Karmand Community Centre,104.3,248.3383,1,115,414.19,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 9EP,53.798092,-1.729685
Training centre,NEETs,Seed to Table (Northcliffe),4,9.524,1,115,12.48,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD18 3DD,53.826519,-1.780133
Training centre,NEETs,Seed to Table (Northcliffe),103.3,245.9573,1,115,359.26,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD18 3DD,53.826519,-1.780133
Training centre,NEETs,Seed to Table (Northcliffe),15,35.715,1,115,46.80,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD18 3DD,53.826519,-1.780133
Training centre,NEETs,Seed to Table (Northcliffe),47.7,113.5737,1,115,218.27,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD18 3DD,53.826519,-1.780133
Training centre,NEETs,Seed to Table (Northcliffe),5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD18 3DD,53.826519,-1.780133
Training centre,NEETs,Seed to Table (Northcliffe),36.4,86.6684,1,115,152.16,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD18 3DD,53.826519,-1.780133
Residential setting,Offenders,Cardigan House,27.4,65.2394,1,115,85.49,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS6 3BJ,53.816269,-1.577284
Residential setting,Offenders,Cardigan House,123.1,293.1011,1,115,399.74,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS6 3BJ,53.816269,-1.577284
Residential setting,Offenders,Cardigan House,38.4,91.4304,1,115,119.81,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS6 3BJ,53.816269,-1.577284
Residential setting,Offenders,Cardigan House,186.2,443.3422,1,115,873.99,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS6 3BJ,53.816269,-1.577284
Residential setting,Offenders,Cardigan House,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS6 3BJ,53.816269,-1.577284
Residential setting,Offenders,Cardigan House,91.4,217.6234,1,115,430.69,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS6 3BJ,53.816269,-1.577284
Food service only,Older people,Holbeck Together,45.4,108.0974,1,115,141.65,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS11 9NR,53.785773,-1.559803
Food service only,Older people,Holbeck Together,186.9,445.0089,1,115,648.31,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 9NR,53.785773,-1.559803
Food service only,Older people,Holbeck Together,33.4,79.5254,1,115,104.21,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS11 9NR,53.785773,-1.559803
Food service only,Older people,Holbeck Together,127.4,303.3394,1,115,604.25,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 9NR,53.785773,-1.559803
Food service only,Older people,Holbeck Together,155.7,370.7217,1,115,933.21,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 9NR,53.785773,-1.559803
Food service only,Older people,Holbeck Together (YSH),29,69.049,1,115,207.06,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS11 9NR,53.785773,-1.559803
Food service only,Older people,Holbeck Together (YSH),101.9,242.6239,1,115,727.57,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS11 9NR,53.785773,-1.559803
Food service only,Older people,Holbeck Together (YSH),51.364,122.297684,1,115,366.74,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS11 9NR,53.785773,-1.559803
Day centre / Drop in centre,Older people,MHA Communities (Horsforth Live At Home),27.4,65.2394,1,115,85.49,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS18 4AH,53.839879,-1.637379
Day centre / Drop in centre,Older people,MHA Communities (Horsforth Live At Home),87.9,209.2899,1,115,325.56,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS18 4AH,53.839879,-1.637379
Food service only,Older people,S.T.E.P,41.2,98.0972,1,115,128.54,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS16 5EJ,53.831334,-1.603768
Food service only,Older people,S.T.E.P,102.5,244.0525,1,115,329.85,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS16 5EJ,53.831334,-1.603768
Food service only,Older people,S.T.E.P,26,61.906,1,115,81.12,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS16 5EJ,53.831334,-1.603768
Food service only,Older people,S.T.E.P,151.7,361.1977,1,115,661.24,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS16 5EJ,53.831334,-1.603768
Food service only,Older people,S.T.E.P,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS16 5EJ,53.831334,-1.603768
Food service only,Older people,S.T.E.P,178.7,425.4847,1,115,"1,009.79",2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS16 5EJ,53.831334,-1.603768
Food service only,Older people,Well Project (YSH),55.5,132.1455,1,115,356.07,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF6 2DP,53.700455,-1.414344
Food service only,Older people,Well Project (YSH),91,216.671,1,115,649.74,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF6 2DP,53.700455,-1.414344
Food service only,Older people,Well Project (YSH),34.4,81.9064,1,115,199.92,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF6 2DP,53.700455,-1.414344
Day centre / Drop in centre,People on low or no income,Batley Drop In (SRC),26.4,62.8584,1,115,82.37,2022,-1.551651,53.790612,Fruit,LS11 5JJ,WF17 5QL,53.712452,-1.635975
Day centre / Drop in centre,People on low or no income,Batley Drop In (SRC),154.3,367.3883,1,115,506.39,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,WF17 5QL,53.712452,-1.635975
Day centre / Drop in centre,People on low or no income,Batley Drop In (SRC),39.3,93.5733,1,115,122.62,2023,-1.551651,53.790612,Fruit,LS11 5JJ,WF17 5QL,53.712452,-1.635975
Day centre / Drop in centre,People on low or no income,Batley Drop In (SRC),129.1,307.3871,1,115,562.27,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,WF17 5QL,53.712452,-1.635975
Day centre / Drop in centre,People on low or no income,Batley Drop In (SRC),17.4,41.4294,1,115,54.29,2024,-1.551651,53.790612,Fruit,LS11 5JJ,WF17 5QL,53.712452,-1.635975
Day centre / Drop in centre,People on low or no income,Batley Drop In (SRC),122,290.482,1,115,559.93,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,WF17 5QL,53.712452,-1.635975
Community centre,People on low or no income,BBest (Birstall Community Partnership) (YSH),28.3,67.3823,1,115,161.86,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF17 0HY,53.737284,-1.639115
