date,geography,geography code,Schoolchild or full-time student indicator: Total: All usual residents aged 5 years and over,Schoolchild or full-time student indicator: Student,Schoolchild or full-time student indicator: Not a student
2021,Worcestershire,E10000034,574072,101643,472429
2021,Isle of Anglesey,W06000001,65667,11540,54127
2021,Gwynedd,W06000002,112045,23962,88083
2021,Conwy,W06000003,109711,18226,91485
2021,Denbighshire,W06000004,91048,16394,74654
2021,Flintshire,W06000005,147336,26331,121005
2021,Wrexham,W06000006,128119,24704,103415
2021,Ceredigion,W06000008,68766,15480,53286
2021,Pembrokeshire,W06000009,117777,19834,97943
2021,Carmarthenshire,W06000010,178840,31974,146866
2021,Swansea,W06000011,227063,51845,175218
2021,Neath Port Talbot,W06000012,135244,26187,109057
2021,Bridgend,W06000013,138145,24957,113188
2021,Vale of Glamorgan,W06000014,125088,23694,101394
2021,Cardiff,W06000015,343239,94734,248505
2021,Rhondda Cynon Taff,W06000016,225117,44578,180539
2021,Caerphilly,W06000018,166734,31122,135612
2021,Blaenau Gwent,W06000019,63361,10967,52394
2021,Torfaen,W06000020,87275,15972,71303
2021,Monmouthshire,W06000021,88995,14419,74576
2021,Newport,W06000022,149859,30401,119458
2021,Powys,W06000023,127438,19699,107739
2021,Merthyr Tydfil,W06000024,55539,10568,44971
