"date","geography","geography code","Sex: All persons; measures: Value","Sex: Female; measures: Value","Sex: Male; measures: Value"
"2021","Windsor and Maidenhead","E06000040",153496,78080,75416
"2021","Wokingham","E06000041",177502,90281,87221
"2021","Buckinghamshire","E06000060",553078,282683,270395
"2021","East Sussex","E10000011",545847,283700,262147
"2021","Hampshire","E10000014",1400899,716116,684783
"2021","Kent","E10000016",1576069,807683,768386
"2021","Oxfordshire","E10000025",725291,367126,358165
"2021","Surrey","E10000030",1203108,616067,587041
"2021","West Sussex","E10000032",882676,453958,428718
"2021","Bath and North East Somerset","E06000022",193409,99019,94390
"2021","Bristol, City of","E06000023",472465,237942,234523
"2021","Cornwall","E06000052",570305,293685,276620
"2021","Isles of Scilly","E06000053",2054,1050,1004
"2021","North Somerset","E06000024",216728,111422,105306
"2021","Plymouth","E06000026",264695,134784,129911
"2021","Bournemouth, Christchurch and Poole","E06000058",400196,204826,195370
"2021","South Gloucestershire","E06000025",290424,146655,143769
"2021","Swindon","E06000030",233410,117347,116063
"2021","Torbay","E06000027",139324,71493,67831
"2021","Wiltshire","E06000054",510330,258626,251704
"2021","Devon","E10000008",811640,417600,394040
"2021","Dorset","E06000059",379579,195166,184413
"2021","Gloucestershire","E10000013",645076,329832,315244
"2021","Somerset","E10000027",571547,292100,279447
"2021","Isle of Anglesey","W06000001",68878,35219,33659
"2021","Gwynedd","W06000002",117393,59868,57525
"2021","Conwy","W06000003",114741,59156,55585
"2021","Denbighshire","W06000004",95818,49209,46609
"2021","Flintshire","W06000005",154962,79059,75903
"2021","Wrexham","W06000006",135117,68241,66876
"2021","Powys","W06000023",133169,67467,65702
"2021","Ceredigion","W06000008",71475,36512,34963
"2021","Pembrokeshire","W06000009",123360,63289,60071
"2021","Carmarthenshire","W06000010",187897,96212,91685
"2021","Swansea","W06000011",238490,120966,117524
"2021","Neath Port Talbot","W06000012",142289,72410,69879
"2021","Bridgend","W06000013",145488,73625,71863
"2021","Vale of Glamorgan","W06000014",131939,68345,63594
"2021","Cardiff","W06000015",362310,185460,176850
"2021","Rhondda Cynon Taff","W06000016",237651,121321,116330
"2021","Merthyr Tydfil","W06000024",58839,30086,28753
"2021","Caerphilly","W06000018",175952,89987,85965
"2021","Blaenau Gwent","W06000019",66904,34065,32839
"2021","Torfaen","W06000020",92276,47409,44867
"2021","Monmouthshire","W06000021",92957,47417,45540
"2021","Newport","W06000022",159587,81166,78421
