date,geography,geography code,National identity (detailed): Total: All usual residents,National identity (detailed): UK identity,National identity (detailed): UK identity: British only identity,National identity (detailed): UK identity: English only identity,National identity (detailed): UK identity: English and British only identity,National identity (detailed): UK identity:  Welsh only identity,National identity (detailed): UK identity: Welsh and British only identity,National identity (detailed): UK identity: Scottish only identity,National identity (detailed): UK identity:  Scottish and British only identity,National identity (detailed): UK identity: Northern Irish only identity,National identity (detailed): UK identity: Northern Irish and British only identity,National identity (detailed): UK identity: Cornish only identity,National identity (detailed): UK identity: Cornish and British only identity,National identity (detailed): UK identity: Any other combination of UK identities (UK only),National identity (detailed): UK identity: Other identity and at least one UK identity ,National identity (detailed): Other identity only,National identity (detailed): Other identity only: Guernsey Islander,National identity (detailed): Other identity only: Jersey Islander,National identity (detailed): Other identity only: Isle of Man (Manx),National identity (detailed): Other identity only: Channel Islander not otherwise specified,National identity (detailed): Other identity only: Irish only identity,National identity (detailed): Other identity only: Irish and at least one UK identity,National identity (detailed): Other identity only: European,National identity (detailed): Other identity only: European: EU countries,National identity (detailed): Other identity only: European: EU countries: French,National identity (detailed): Other identity only: European: EU countries: German,National identity (detailed): Other identity only: European: EU countries: Italian,National identity (detailed): Other identity only: European: EU countries: Portuguese,National identity (detailed): Other identity only: European: EU countries: Spanish (including Canary Islander),National identity (detailed): Other identity only: European: EU countries: Other member countries in March 2001,National identity (detailed): Other identity only: European: EU countries:  Lithuanian,National identity (detailed): Other identity only: European: EU countries:  Polish,National identity (detailed): Other identity only: European: EU countries: Romanian,National identity (detailed): Other identity only: European: EU countries: Other member countries,National identity (detailed): Other identity only: European: Non-EU countries,National identity (detailed): Other identity only: European: Non-EU countries: Turkish,National identity (detailed): Other identity only: European: Non-EU countries: Other European,National identity (detailed): Other identity only: African,National identity (detailed): Other identity only: African: North African,National identity (detailed): Other identity only: African: Central and Western African,National identity (detailed): Other identity only: African: Central and Western African: Ghanaian,National identity (detailed): Other identity only: African: Central and Western African: Nigerian,National identity (detailed): Other identity only: African: Central and Western African: Other Central and Western African,National identity (detailed): Other identity only: African: South and Eastern African,National identity (detailed): Other identity only: African: South and Eastern African: Kenyan,National identity (detailed): Other identity only: African: South and Eastern African: Somali,National identity (detailed): Other identity only: African: South and Eastern African: South African,National identity (detailed): Other identity only: African: South and Eastern African: Zimbabwean,National identity (detailed): Other identity only: African: South and Eastern African: Other South and Eastern African,National identity (detailed): Other identity only: Middle Eastern and Asian,National identity (detailed): Other identity only: Middle Eastern and Asian: Middle Eastern,National identity (detailed): Other identity only: Middle Eastern and Asian: Middle Eastern: Kurdish,National identity (detailed): Other identity only: Middle Eastern and Asian: Middle Eastern: Iranian,National identity (detailed): Other identity only: Middle Eastern and Asian: Middle Eastern: Iraqi,National identity (detailed): Other identity only: Middle Eastern and Asian: Middle Eastern: Other Middle Eastern,National identity (detailed): Other identity only: Middle Eastern and Asian: Eastern Asian,National identity (detailed): Other identity only: Middle Eastern and Asian: Eastern Asian: Chinese,National identity (detailed): Other identity only: Middle Eastern and Asian: Eastern Asian: Hong Kong Chinese,National identity (detailed): Other identity only: Middle Eastern and Asian: Eastern Asian: Japanese,National identity (detailed): Other identity only: Middle Eastern and Asian: Eastern Asian: Other Eastern Asian,National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian,National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Afghan,National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Bangladeshi,National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Indian,National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Pakistani,National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Sri Lankan,National identity (detailed): Other identity only: Middle Eastern and Asian: Southern Asian: Other Southern Asian,National identity (detailed): Other identity only: Middle Eastern and Asian: South-East Asian,National identity (detailed): Other identity only: Middle Eastern and Asian: South-East Asian: Filipino,National identity (detailed): Other identity only: Middle Eastern and Asian: South-East Asian: Malaysian,National identity (detailed): Other identity only: Middle Eastern and Asian: South-East Asian: Singaporean,National identity (detailed): Other identity only: Middle Eastern and Asian: South-East Asian: Other South-East Asian,National identity (detailed): Other identity only: Middle Eastern and Asian: Central Asian,National identity (detailed): Other identity only: Middle Eastern and Asian: Asian not otherwise specified,National identity (detailed): Other identity only: American and Caribbean,National identity (detailed): Other identity only: American and Caribbean: North American,National identity (detailed): Other identity only: American and Caribbean: North American: Canadian,National identity (detailed): Other identity only: American and Caribbean: North American: US Citizen,National identity (detailed): Other identity only: American and Caribbean: North American: Other North American,National identity (detailed): Other identity only: American and Caribbean: Central American,National identity (detailed): Other identity only: American and Caribbean: South American,National identity (detailed): Other identity only: American and Caribbean: Caribbean,National identity (detailed): Other identity only: American and Caribbean: Caribbean: Jamaican,National identity (detailed): Other identity only: American and Caribbean: Caribbean: Other Caribbean,National identity (detailed): Other identity only: Antarctican and Oceanian,National identity (detailed): Other identity only: Antarctican and Oceanian: Australasian,National identity (detailed): Other identity only: Antarctican and Oceanian: Australasian: Australian,National identity (detailed): Other identity only: Antarctican and Oceanian: Australasian: New Zealander,National identity (detailed): Other identity only: Antarctican and Oceanian: Australasian: Other Australasian,National identity (detailed): Other identity only: Antarctican and Oceanian: Other Oceanian,National identity (detailed): Other identity only: Other
2021,England,E92000001,56490048,50800006,32103291,8615437,8057675,192668,86966,232034,108719,75497,30180,88360,10584,102861,1095734,5690042,87,125,1924,132,290790,60290,3187663,2720656,126075,83398,282808,232637,175049,242345,143839,571732,470229,392544,467007,52179,414828,441104,63004,214304,47003,98975,68326,163796,9424,22101,42103,31599,58569,1256640,142460,23114,35557,17079,66710,191457,119328,26565,26617,18947,746062,30762,66796,373489,175449,45635,53931,132723,54662,25928,8000,44133,4380,39558,292425,138694,30162,107536,996,11097,88351,54283,28827,25456,83859,79397,54035,25193,169,4462,75003
2021,England and Wales,K04000001,59597544,53773706,32677619,8898728,8112809,1908644,337607,244253,110793,79117,30834,89084,10670,143234,1130314,5823838,94,140,2077,144,299546,62271,3260433,2780250,127880,85401,286858,236702,177431,246635,146098,593014,477323,402908,480183,53786,426397,451734,65623,218186,47321,101225,69640,167925,9659,22577,43321,32362,60006,1287782,149190,24221,36512,17794,70663,197701,123906,27465,27052,19278,758986,31141,68668,379593,177873,46810,54901,137166,56305,26835,8151,45875,4457,40282,297474,141746,30957,109770,1019,11412,89451,54865,29046,25819,85598,81051,55107,25771,173,4547,76545
2021,Wales,W92000004,3107490,2973700,574329,283291,55134,1715975,250641,12219,2074,3620,654,724,86,40373,34580,133790,5,15,153,12,8756,1981,72770,59594,1805,2002,4051,4065,2382,4290,2259,21282,7094,10364,13176,1607,11569,10627,2618,3882,318,2250,1314,4127,235,476,1218,761,1437,31143,6730,1107,955,715,3953,6245,4578,901,435,331,12924,379,1872,6104,2424,1175,970,4443,1643,907,151,1742,77,724,5047,3051,795,2233,23,315,1100,581,219,362,1740,1655,1072,578,5,85,1541
