date,geography,geography code,General health: Total: All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health
2021,Cheshire West and Chester,E06000050,357150,174349,118810,45293,14499,4199
2021,Shropshire,E06000051,323606,150899,112330,43932,12796,3649
2021,Cornwall,E06000052,570305,260855,191185,82985,26972,8308
2021,Isles of Scilly,E06000053,2054,1054,677,240,66,17
2021,Wiltshire,E06000054,510333,252803,173908,62034,16995,4593
2021,Bedford,E06000055,185225,90419,64772,21942,6357,1735
2021,Central Bedfordshire,E06000056,294252,148210,101486,33332,8817,2407
2021,Northumberland,E06000057,320567,140289,110887,49447,15644,4300
2021,"Bournemouth, Christchurch and Poole",E06000058,400196,190242,136523,52466,16230,4735
2021,Dorset,E06000059,379579,170366,135867,54010,15166,4170
2021,Buckinghamshire,E06000060,553079,293915,183564,57178,14525,3897
2021,North Northamptonshire,E06000061,359524,166047,128657,47271,13718,3831
2021,West Northamptonshire,E06000062,425725,209457,149226,49482,13891,3669
2021,Bolton,E08000001,295963,142076,96785,38905,13968,4229
2021,Bury,E08000002,193850,93456,63919,25700,8416,2359
2021,Manchester,E08000003,551938,280547,173458,64955,24915,8063
2021,Oldham,E08000004,242088,113590,79548,33754,11724,3472
2021,Rochdale,E08000005,223773,104957,73713,30753,11214,3136
2021,Salford,E08000006,269923,134447,86140,33249,12406,3681
2021,Stockport,E08000007,294773,145602,96317,37255,12017,3582
2021,Tameside,E08000008,231071,104704,77895,33204,11821,3447
2021,Trafford,E08000009,235052,124806,72803,26515,8406,2522
2021,Wigan,E08000010,329331,152373,110193,46214,16085,4466
2021,Knowsley,E08000011,154519,73079,46569,21561,10037,3273
2021,Liverpool,E08000012,486088,231830,150332,65142,29077,9707
2021,St. Helens,E08000013,183245,82747,59974,26762,10591,3171
2021,Sefton,E08000014,279233,129449,90164,40057,14953,4610
2021,Wirral,E08000015,320199,148845,102703,45385,17840,5426
2021,Barnsley,E08000016,244572,106010,82192,38001,14252,4117
2021,Doncaster,E08000017,308104,136540,105090,45337,16192,4945
2021,Rotherham,E08000018,265807,117359,90450,39277,14400,4321
2021,Sheffield,E08000019,556522,259654,187759,75541,25998,7570
2021,Newcastle upon Tyne,E08000021,300126,145219,96614,39307,14525,4461
2021,North Tyneside,E08000022,208965,96170,69597,30204,10188,2806
2021,South Tyneside,E08000023,147778,64656,48869,22930,8709,2614
2021,Sunderland,E08000024,274171,118258,90486,43507,16834,5086
2021,Birmingham,E08000025,1144919,544500,380993,150801,51755,16870
2021,Coventry,E08000026,345325,167651,116149,43030,14126,4369
2021,Dudley,E08000027,323488,141846,114604,47402,15299,4337
2021,Sandwell,E08000028,341833,153337,116762,49048,17472,5214
2021,Solihull,E08000029,216240,106508,72191,26816,8293,2432
2021,Walsall,E08000030,284124,126170,97681,41567,14222,4484
2021,Wolverhampton,E08000031,263727,118244,90690,38056,12953,3784
2021,Bradford,E08000032,546408,252136,188664,73124,24904,7580
2021,Calderdale,E08000033,206631,96309,70657,27913,9057,2695
2021,Kirklees,E08000034,433217,201705,149441,58024,18669,5378
2021,Leeds,E08000035,811953,402056,270304,98856,31621,9116
2021,Wakefield,E08000036,353370,157984,121164,51084,17900,5238
2021,Gateshead,E08000037,196151,85811,65777,30117,11120,3326
2021,City of London,E09000001,8583,4937,2726,687,186,47
2021,Barking and Dagenham,E09000002,218869,111929,71978,24295,8169,2498
2021,Barnet,E09000003,389344,213576,120802,39317,11724,3925
2021,Bexley,E09000004,246473,125181,82371,28260,8128,2533
2021,Brent,E09000005,339814,176793,111300,36871,11158,3692
2021,Bromley,E09000006,329991,176211,106977,34265,9694,2844
2021,Camden,E09000007,210136,116692,61665,21109,8013,2657
2021,Croydon,E09000008,390719,200050,130711,43327,12733,3898
2021,Ealing,E09000009,367115,192559,120388,38868,11619,3681
2021,Enfield,E09000010,329984,167119,108918,37822,12150,3975
2021,Greenwich,E09000011,289068,152415,92418,30949,10134,3152
2021,Hackney,E09000012,259146,146836,73626,25710,9467,3507
2021,Hammersmith and Fulham,E09000013,183157,108069,51238,16301,5603,1946
2021,Haringey,E09000014,264238,140184,83809,27408,9562,3275
2021,Harrow,E09000015,261203,134553,88594,27907,7715,2434
2021,Havering,E09000016,262052,130764,89013,30642,8941,2692
2021,Hillingdon,E09000017,305909,156976,103725,33088,9244,2876
2021,Hounslow,E09000018,288181,149624,96314,30323,9017,2903
2021,Islington,E09000019,216589,118690,63421,22469,8901,3108
2021,Kensington and Chelsea,E09000020,143375,85462,38302,13191,4806,1614
2021,Kingston upon Thames,E09000021,168063,90958,54724,16710,4367,1304
2021,Lambeth,E09000022,317654,178535,96211,30240,9582,3086
2021,Lewisham,E09000023,300550,159645,96291,31609,9891,3114
2021,Merton,E09000024,215182,118140,68979,20760,5599,1704
2021,Newham,E09000025,351036,180480,116872,37801,11823,4060
2021,Redbridge,E09000026,310258,159202,105549,33011,9467,3029
2021,Richmond upon Thames,E09000027,195278,115959,57054,16331,4574,1360
2021,Southwark,E09000028,307637,171620,93329,30002,9552,3134
2021,Sutton,E09000029,209639,107792,71329,22304,6322,1892
2021,Tower Hamlets,E09000030,310306,164359,99697,31182,11172,3896
2021,Waltham Forest,E09000031,278426,143437,93169,29590,9277,2953
2021,Wandsworth,E09000032,327506,198576,91919,26746,7868,2397
2021,Westminster,E09000033,204236,115033,58977,19840,7404,2982
2021,Cambridgeshire,E10000003,678849,335098,235114,80537,22036,6064
2021,Cumbria,E10000006,499846,228104,172203,70917,22371,6251
2021,Derbyshire,E10000007,794638,355996,275975,116031,36437,10199
2021,Devon,E10000008,811640,382463,277928,109469,32648,9132
2021,East Sussex,E10000011,545847,244464,191683,78551,24261,6888
2021,Essex,E10000012,1503521,730257,515958,187032,54440,15834
2021,Gloucestershire,E10000013,645076,313021,223216,80559,22196,6084
2021,Hampshire,E10000014,1400896,688924,486607,168429,44929,12007
2021,Hertfordshire,E10000015,1198798,630028,394320,129404,35371,9675
2021,Kent,E10000016,1576069,757967,536891,202451,61162,17598
2021,Lancashire,E10000017,1235354,581243,413652,168914,55334,16211
2021,Leicestershire,E10000018,712367,344420,247997,89029,24101,6820
2021,Lincolnshire,E10000019,768364,330873,278189,114630,35083,9589
2021,Norfolk,E10000020,916120,394575,334498,136390,39716,10941
2021,North Yorkshire,E10000023,615491,293072,213655,80093,22395,6276
2021,Nottinghamshire,E10000024,824822,375854,283286,117637,37298,10747
2021,Oxfordshire,E10000025,725291,381451,242181,76832,19534,5293
2021,Somerset,E10000027,571548,262885,200991,78445,22945,6282
2021,Staffordshire,E10000028,876104,397961,309149,121066,37045,10883
2021,Suffolk,E10000029,760686,347152,272353,103780,29544,7857
2021,Surrey,E10000030,1203108,649544,391018,122168,31378,9000
2021,Warwickshire,E10000031,596773,289098,205297,74813,21494,6071
2021,West Sussex,E10000032,882676,426176,306816,110312,30836,8536
2021,Worcestershire,E10000034,603676,283719,210377,79375,23501,6704
2021,Isle of Anglesey,W06000001,68878,32788,21937,10216,3059,878
2021,Gwynedd,W06000002,117391,58620,37038,15668,4741,1324
2021,Conwy,W06000003,114742,51092,38345,17780,5819,1706
2021,Denbighshire,W06000004,95817,43115,31254,14621,5179,1648
2021,Flintshire,W06000005,154962,73431,51838,20920,6716,2057
2021,Wrexham,W06000006,135117,61404,45998,19316,6588,1811
2021,Ceredigion,W06000008,71475,32195,24054,10881,3328,1017
2021,Pembrokeshire,W06000009,123360,55187,41206,18605,6375,1987
2021,Carmarthenshire,W06000010,187897,84785,59550,29491,10554,3517
2021,Swansea,W06000011,238490,113823,73789,33363,13061,4454
2021,Neath Port Talbot,W06000012,142289,64583,43219,21961,9388,3138
2021,Bridgend,W06000013,145488,66751,46142,21589,8254,2752
2021,Vale of Glamorgan,W06000014,131939,63999,42548,17533,5906,1953
2021,Cardiff,W06000015,362308,181604,115195,44144,16193,5172
2021,Rhondda Cynon Taff,W06000016,237651,105823,75427,36863,14925,4613
2021,Caerphilly,W06000018,175952,76930,56471,27645,11275,3631
2021,Blaenau Gwent,W06000019,66904,27465,21865,11210,4785,1579
2021,Torfaen,W06000020,92276,39335,31301,14340,5584,1716
2021,Monmouthshire,W06000021,92955,43165,31887,12655,4060,1188
2021,Newport,W06000022,159592,74351,52689,21937,8159,2456
2021,Powys,W06000023,133169,59313,45946,20078,6040,1792
2021,Merthyr Tydfil,W06000024,58839,26718,17786,8837,4112,1386
