date,geography,geography code,General health: Total: All usual residents,General health: Very good health,General health: Good health,General health: Fair health,General health: Bad health,General health: Very bad health
2021,England,E92000001,56490046,27390829,19040735,7147346,2248255,662881
2021,England and Wales,K04000001,59597542,28827308,20046220,7597001,2412358,714655
2021,Wales,W92000004,3107495,1436479,1005485,449655,164102,51774
