date,geography,geography code,Number of disabled people in household: Total: All households,Number of disabled people in household: No people disabled under the Equality Act in household,Number of disabled people in household: 1 person disabled under the Equality Act in household,Number of disabled people in household: 2 or more people disabled under the Equality Act in household
2021,England,E92000001,23436085,15928198,5950081,1557806
2021,England and Wales,K04000001,24783199,16764706,6346966,1671527
2021,Wales,W92000004,1347112,836508,396883,113721
