date,geography,geography code,Gender identity: Total: All usual residents aged 16 years and over,Gender identity: Gender identity the same as sex registered at birth,Gender identity: Gender identity different from sex registered at birth but no specific identity given,Gender identity: Trans woman,Gender identity: Trans man,Gender identity: Non-binary,Gender identity: All other gender identities,Gender identity: Not answered
2021,Bradford,E08000032,421574,386637,1713,511,530,157,112,31914
2021,Calderdale,E08000033,166633,156893,333,156,131,99,55,8966
2021,Kirklees,E08000034,346275,323432,752,304,316,161,96,21214
2021,Leeds,E08000035,658471,613810,2086,781,779,713,395,39907
2021,Wakefield,E08000036,287537,271795,578,224,230,94,77,14539
2021,Gateshead,E08000037,161748,153947,360,110,124,87,51,7069
2021,City of London,E09000001,8004,7369,9,12,5,12,1,596
2021,Barking and Dagenham,E09000002,161745,146228,1029,408,383,27,44,13626
2021,Barnet,E09000003,309355,281284,1374,459,452,155,110,25521
2021,Bexley,E09000004,195827,183633,530,189,208,74,53,11140
2021,Brent,E09000005,275143,243848,1947,613,782,140,129,27684
2021,Bromley,E09000006,265089,249251,437,196,205,147,74,14779
2021,Camden,E09000007,177909,161887,605,245,217,216,133,14606
2021,Croydon,E09000008,310398,284319,1420,515,558,165,107,23314
2021,Ealing,E09000009,295367,266383,1666,500,585,136,118,25979
2021,Enfield,E09000010,257182,232329,1652,518,486,74,58,22065
2021,Greenwich,E09000011,229747,211268,981,359,414,175,102,16448
2021,Hackney,E09000012,209468,187007,921,357,293,433,237,20220
2021,Hammersmith and Fulham,E09000013,154627,141488,526,214,211,111,59,12018
2021,Haringey,E09000014,216000,193177,1377,383,389,357,180,20137
2021,Harrow,E09000015,209617,188901,1108,318,342,57,59,18832
2021,Havering,E09000016,209730,196462,528,228,212,60,39,12201
2021,Hillingdon,E09000017,241878,221799,1123,421,447,87,39,17962
2021,Hounslow,E09000018,228682,207115,1306,393,513,74,47,19234
2021,Islington,E09000019,183627,168195,653,349,273,302,165,13690
2021,Kensington and Chelsea,E09000020,123086,111842,292,162,109,54,68,10559
2021,Kingston upon Thames,E09000021,135464,125513,365,170,162,125,64,9065
2021,Lambeth,E09000022,268945,246836,1050,511,410,303,239,19596
2021,Lewisham,E09000023,242411,221462,1013,431,408,423,196,18478
2021,Merton,E09000024,172773,158429,594,194,206,88,66,13196
2021,Newham,E09000025,276173,244479,2520,645,692,168,142,27527
2021,Redbridge,E09000026,242016,219231,1443,401,465,61,69,20346
2021,Richmond upon Thames,E09000027,155834,146446,227,137,110,64,72,8778
2021,Southwark,E09000028,256137,234184,1610,445,466,410,226,18796
2021,Sutton,E09000029,165656,154921,379,155,172,60,46,9923
2021,Tower Hamlets,E09000030,252881,229263,1438,344,350,350,161,20975
2021,Waltham Forest,E09000031,222182,201307,1256,392,422,213,126,18466
2021,Wandsworth,E09000032,273559,254037,713,347,304,182,145,17831
2021,Westminster,E09000033,177468,159772,659,253,233,104,80,16367
2021,Cambridgeshire,E10000003,559648,522112,1075,572,404,578,419,34488
2021,Cumbria,E10000006,420035,397923,577,262,267,177,106,20723
2021,Derbyshire,E10000007,659822,624585,711,357,365,272,207,33325
2021,Devon,E10000008,683470,642587,774,476,410,412,262,38549
2021,East Sussex,E10000011,455639,428410,561,332,309,278,160,25589
2021,Essex,E10000012,1224175,1158500,1735,958,818,416,273,61475
2021,Gloucestershire,E10000013,532285,502440,776,423,380,355,229,27682
2021,Hampshire,E10000014,1151127,1093951,1438,880,830,588,334,53106
2021,Hertfordshire,E10000015,959082,903368,1554,856,833,475,281,51715
2021,Kent,E10000016,1276568,1205716,2380,1070,1052,657,399,65294
2021,Lancashire,E10000017,1012923,953745,1872,787,772,530,292,54925
2021,Leicestershire,E10000018,587433,555731,736,373,361,280,144,29808
2021,Lincolnshire,E10000019,640212,598009,1225,502,500,340,221,39415
2021,Norfolk,E10000020,767093,719245,1289,627,711,634,308,44279
2021,North Yorkshire,E10000023,516180,489220,598,319,254,173,135,25481
2021,Nottinghamshire,E10000024,679071,641726,963,472,463,353,207,34887
2021,Oxfordshire,E10000025,595033,555387,1420,548,598,616,294,36170
2021,Somerset,E10000027,474940,446072,665,308,313,193,163,27226
2021,Staffordshire,E10000028,726396,688500,987,464,471,304,177,35493
2021,Suffolk,E10000029,630362,593580,1017,442,475,291,209,34348
2021,Surrey,E10000030,972514,918205,1361,756,731,495,287,50679
2021,Warwickshire,E10000031,490564,463927,665,350,339,232,152,24899
2021,West Sussex,E10000032,727120,687254,1088,526,558,360,219,37115
2021,Worcestershire,E10000034,499359,471551,645,298,308,212,141,26204
2021,Isle of Anglesey,W06000001,57147,53217,66,34,31,16,16,3767
2021,Gwynedd,W06000002,97970,89798,99,69,67,90,54,7793
2021,Conwy,W06000003,96362,89545,94,40,58,34,27,6564
2021,Denbighshire,W06000004,78907,73162,93,49,31,37,21,5514
2021,Flintshire,W06000005,127578,119289,174,83,73,36,17,7906
2021,Wrexham,W06000006,110274,102146,179,83,83,41,33,7709
2021,Ceredigion,W06000008,61389,55874,84,73,62,143,66,5087
2021,Pembrokeshire,W06000009,102549,95794,121,58,66,40,32,6438
2021,Carmarthenshire,W06000010,155487,144924,210,93,90,60,38,10072
